x,y,s,xy,pxy,yx,pyx
26,28,48,23,0.4791666666666667,25,0.5208333333333334
7,11,52,41,0.7884615384615384,11,0.21153846153846154
24,29,31,24,0.7741935483870968,7,0.22580645161290322
11,29,6,1,0.16666666666666666,5,0.8333333333333334
26,29,23,6,0.2608695652173913,17,0.7391304347826086
11,24,16,2,0.125,14,0.875
11,26,7,5,0.7142857142857143,2,0.2857142857142857
7,300,8,6,0.75,2,0.25
25,300,4,3,0.75,1,0.25
9,300,3,3,1.0,0,0.0
21,22,8,3,0.375,5,0.625
14,21,37,11,0.2972972972972973,26,0.7027027027027027
7,21,51,26,0.5098039215686274,25,0.49019607843137253
7,23,10,8,0.8,2,0.2
23,24,1,0,0.0,1,1.0
14,23,8,2,0.25,6,0.75
61,65,82,77,0.9390243902439024,5,0.06097560975609756
14,80,75,63,0.84,12,0.16
15,40,6,5,0.8333333333333334,1,0.16666666666666666
16,40,5,2,0.4,3,0.6
15,16,34,27,0.7941176470588235,7,0.20588235294117646
7,47,53,12,0.22641509433962265,41,0.7735849056603774
47,81,5,5,1.0,0,0.0
47,49,6,6,1.0,0,0.0
7,81,11,10,0.9090909090909091,1,0.09090909090909091
49,81,2,0,0.0,2,1.0
3,22,1,1,1.0,0,0.0
3,14,25,20,0.8,5,0.2
35,61,16,4,0.25,12,0.75
35,65,10,7,0.7,3,0.3
22,25,14,12,0.8571428571428571,2,0.14285714285714285
24,25,39,33,0.8461538461538461,6,0.15384615384615385
20,24,19,5,0.2631578947368421,14,0.7368421052631579
34,80,21,19,0.9047619047619048,2,0.09523809523809523
26,35,5,2,0.4,3,0.6
23,35,1,0,0.0,1,1.0
23,26,5,2,0.4,3,0.6
26,32,6,1,0.16666666666666666,5,0.8333333333333334
23,32,2,1,0.5,1,0.5
25,28,65,40,0.6153846153846154,25,0.38461538461538464
25,26,64,34,0.53125,30,0.46875
9,34,41,7,0.17073170731707318,34,0.8292682926829268
28,33,5,2,0.4,3,0.6
28,34,40,20,0.5,20,0.5
28,40,36,23,0.6388888888888888,13,0.3611111111111111
26,34,45,14,0.3111111111111111,31,0.6888888888888889
26,40,15,7,0.4666666666666667,8,0.5333333333333333
24,34,26,24,0.9230769230769231,2,0.07692307692307693
34,40,8,6,0.75,2,0.25
24,40,21,20,0.9523809523809523,1,0.047619047619047616
7,80,107,98,0.9158878504672897,9,0.08411214953271028
28,61,6,2,0.3333333333333333,4,0.6666666666666666
28,65,3,2,0.6666666666666666,1,0.3333333333333333
34,79,5,5,1.0,0,0.0
34,97,2,2,1.0,0,0.0
7,79,17,16,0.9411764705882353,1,0.058823529411764705
79,97,1,1,1.0,0,0.0
7,97,44,31,0.7045454545454546,13,0.29545454545454547
24,92,6,6,1.0,0,0.0
24,80,14,14,1.0,0,0.0
25,92,11,4,0.36363636363636365,7,0.6363636363636364
80,92,3,0,0.0,3,1.0
25,80,21,16,0.7619047619047619,5,0.23809523809523808
10,28,17,7,0.4117647058823529,10,0.5882352941176471
49,80,8,5,0.625,3,0.375
7,12,23,19,0.8260869565217391,4,0.17391304347826086
11,12,30,15,0.5,15,0.5
19,24,10,1,0.1,9,0.9
19,26,4,2,0.5,2,0.5
14,19,44,21,0.4772727272727273,23,0.5227272727272727
7,19,41,32,0.7804878048780488,9,0.21951219512195122
22,28,15,8,0.5333333333333333,7,0.4666666666666667
25,34,44,18,0.4090909090909091,26,0.5909090909090909
32,79,47,37,0.7872340425531915,10,0.2127659574468085
12,28,8,2,0.25,6,0.75
12,25,5,2,0.4,3,0.6
23,40,1,0,0.0,1,1.0
20,49,8,7,0.875,1,0.125
14,15,13,2,0.15384615384615385,11,0.8461538461538461
14,16,11,4,0.36363636363636365,7,0.6363636363636364
18,34,22,8,0.36363636363636365,14,0.6363636363636364
23,49,3,3,1.0,0,0.0
25,35,6,5,0.8333333333333334,1,0.16666666666666666
3,18,2,1,0.5,1,0.5
10,18,22,4,0.18181818181818182,18,0.8181818181818182
11,25,6,4,0.6666666666666666,2,0.3333333333333333
11,34,4,1,0.25,3,0.75
12,34,1,0,0.0,1,1.0
14,79,13,12,0.9230769230769231,1,0.07692307692307693
25,79,2,1,0.5,1,0.5
24,49,10,10,1.0,0,0.0
35,92,2,2,1.0,0,0.0
32,92,5,3,0.6,2,0.4
25,40,16,10,0.625,6,0.375
40,49,20,16,0.8,4,0.2
40,80,2,2,1.0,0,0.0
34,35,7,6,0.8571428571428571,1,0.14285714285714285
7,35,14,6,0.42857142857142855,8,0.5714285714285714
32,62,1,0,0.0,1,1.0
32,66,1,0,0.0,1,1.0
15,51,1,1,1.0,0,0.0
15,28,12,6,0.5,6,0.5
16,51,1,1,1.0,0,0.0
16,28,15,9,0.6,6,0.4
40,51,2,2,1.0,0,0.0
28,51,3,0,0.0,3,1.0
9,32,9,2,0.2222222222222222,7,0.7777777777777778
18,32,9,6,0.6666666666666666,3,0.3333333333333333
29,47,5,1,0.2,4,0.8
20,29,7,0,0.0,7,1.0
10,29,7,0,0.0,7,1.0
20,47,5,0,0.0,5,1.0
10,47,6,0,0.0,6,1.0
10,20,2,1,0.5,1,0.5
4,14,10,10,1.0,0,0.0
4,7,11,7,0.6363636363636364,4,0.36363636363636365
24,79,4,4,1.0,0,0.0
25,60,10,5,0.5,5,0.5
25,64,6,6,1.0,0,0.0
44,47,2,0,0.0,2,1.0
14,44,13,2,0.15384615384615385,11,0.8461538461538461
28,35,48,12,0.25,36,0.75
25,49,25,21,0.84,4,0.16
32,53,13,10,0.7692307692307693,3,0.23076923076923078
35,53,2,1,0.5,1,0.5
25,32,17,8,0.47058823529411764,9,0.5294117647058824
32,61,32,13,0.40625,19,0.59375
32,65,26,22,0.8461538461538461,4,0.15384615384615385
26,49,29,23,0.7931034482758621,6,0.20689655172413793
20,32,2,0,0.0,2,1.0
3,26,10,8,0.8,2,0.2
3,20,2,2,1.0,0,0.0
3,80,2,2,1.0,0,0.0
20,26,12,7,0.5833333333333334,5,0.4166666666666667
26,80,7,6,0.8571428571428571,1,0.14285714285714285
20,80,12,10,0.8333333333333334,2,0.16666666666666666
14,92,17,5,0.29411764705882354,12,0.7058823529411765
2,300,6,5,0.8333333333333334,1,0.16666666666666666
7,44,30,7,0.23333333333333334,23,0.7666666666666667
26,44,5,0,0.0,5,1.0
14,61,3,1,0.3333333333333333,2,0.6666666666666666
7,61,1,1,1.0,0,0.0
16,80,3,2,0.6666666666666666,1,0.3333333333333333
28,80,23,14,0.6086956521739131,9,0.391304347826087
15,80,3,1,0.3333333333333333,2,0.6666666666666666
21,300,1,1,1.0,0,0.0
7,95,5,2,0.4,3,0.6
3,24,7,2,0.2857142857142857,5,0.7142857142857143
28,97,5,3,0.6,2,0.4
32,64,8,7,0.875,1,0.125
33,35,2,1,0.5,1,0.5
22,24,9,5,0.5555555555555556,4,0.4444444444444444
28,47,12,1,0.08333333333333333,11,0.9166666666666666
28,81,2,1,0.5,1,0.5
18,40,7,3,0.42857142857142855,4,0.5714285714285714
10,49,5,4,0.8,1,0.2
22,34,12,8,0.6666666666666666,4,0.3333333333333333
13,97,2,2,1.0,0,0.0
19,20,4,0,0.0,4,1.0
35,67,1,1,1.0,0,0.0
35,63,1,1,1.0,0,0.0
63,67,1,0,0.0,1,1.0
