ABa,ABA
aprayANi,aprayANi
aprayukwa,aprayukwA
apriya,apriyA
apsaras,apsaras
apuMska,apuMskA
apuRta,apuRtA
apuwraka,apuwrikA
apyApwi,apyApwi
aqNina,aqNinI
arAga,arAgA
arAjana,arAjanI
arAjaka,arAjikA
arAla,arAlA
arBaka,arBikA
arSasa,arSasA
arUpa,arUpA
arUpaka,arUpikA
arWIya,arWIyA
arWana,arWanA
arWavawwa,arWavawwA
arWiwa,arWiwA
arWya,arWyA
arXa,arXA
arXaka,arXikA
arXika,arXikI
araNa,araNI
araNyAna,araNyAnI
araNyAni,araNyAni
araja,arajA
arajaska,arajaskA
aramaNa,aramaNA
aramamANa,aramamANA
arasa,arasA
arasaka,arasikA
aravinxina,aravinxinI
arawa,arawA
arca,arcA
arcanIya,arcanIyA
arci,arci
arcaka,arcikA
arcya,arcyA
argala,argalA
argala,argalI
argala,argala
argalaka,argalikA
arha,arhA
arhaNa,arhaNA
arhanwa,arhanwI
arhya,arhyA
ariRta,ariRtA
arikWIya,arikWIyA
arjaka,arjikA
arjuna,arjunA
arjuna,arjunI
arocaka,arocikA
aroga,arogA
arogya,arogyA
aroka,arokA
arpaNa,arpaNA
aruNa,aruNA
aruNIkqwa,aruNIkqwA
aruRa,aruRA
aruRta,aruRtA
arucira,arucirA
arucya,arucyA
aruja,arujA
arunXawa,arunXawI
arunwuxa,arunwuxA
arvAcIna,arvAcInA
arvaNa,arvaNI
arwi,arwi
arwaka,arwikA
arxana,arxanA
aryANa,aryANI
arya,aryA
asAXAraNa,asAXAraNA
asAXanIya,asAXanIyA
asAXya,asAXyA
asAkRika,asAkRikI
asAmAnya,asAmAnyA
asAmayika,asAmayikI
asAmprawa,asAmprawA
asAra,asArA
asArawa,asArawA
asKaliwa,asKaliwA
asORTava,asORTavA
asPuta,asPutA
asUrya,asUryA
asUryampaSya,asUryampaSyA
asUwa,asUwA
asUwi,asUwi
asUya,asUyA
asUyaka,asUyikA
asWAna,asWAnA
asWAvara,asWAvarA
asWira,asWirA
asWiwi,asWiwi
asaBya,asaByA
asaMSaya,asaMSayA
asaMSrava,asaMSravA
asaMhawa,asaMhawA
asaMjFa,asaMjFA
asaMsWiwa,asaMsWiwA
asaMsWiwi,asaMsWiwi
asaMskqwa,asaMskqwA
asaMsqRta,asaMsqRtA
asaMswuwa,asaMswuwA
asaMvyavahiwa,asaMvyavahiwA
asaMyawa,asaMyawA
asafKya,asafKyA
asafKyAwa,asafKyAwA
asafKyeya,asafKyeyA
asafakula,asafakulA
asafga,asafgA
asafgama,asafgamA
asafgawa,asafgawA
asafgawi,asafgawi
asagowra,asagowrA
asaha,asahA
asahAya,asahAyA
asahana,asahanA
asahanIya,asahanIyA
asahiwavya,asahiwavyA
asahya,asahyA
asakWa,asakWA
asakwa,asakwA
asama,asamA
asamApwa,asamApwA
asamBAvana,asamBAvanA
asamBava,asamBavA
asamBavya,asamBavyA
asamBqwa,asamBqwA
asamIca,asamIcI
asamaFjasa,asamaFjasA
asamaswa,asamaswA
asambAXa,asambAXA
asambanXa,asambanXA
asambaxXa,asambaxXA
asammawa,asammawA
asammawi,asammawi
asampUrNa,asampUrNA
asampawwi,asampawwi
asannaxXa,asannaxXA
asannivqwwi,asannivqwwi
asanxigXa,asanxigXA
asapiNda,asapiNdA
asavarNa,asavarNA
asawAya,asawAyI
asawwa,asawwA
asawwva,asawwvA
asawya,asawyA
asaxqSa,asaxqSA
asaxqSa,asaxqSI
asecana,asecanA
asecanaka,asecanikA
asikna,asiknI
asiknaka,asiknikA
asiwa,asiwA
asixXa,asixXA
asixXi,asixXi
asmArwa,asmArwA
asmaxIya,asmaxIyA
asmiwa,asmiwA
asmqwi,asmqwi
aspaRta,aspaRtA
aspqSya,aspqSyA
asuKa,asuKA
asulaBa,asulaBA
asurasa,asurasA
asurya,asuryA
asuwa,asuwA
asva,asvA
asvapna,asvapnA
asvargya,asvargyA
asvasWa,asvasWA
asvawaMwra,asvawaMwrA
ata,atA
atana,atanI
atani,atani
atava,atavI
atavi,atavi
atta,attA
attAlaka,attAlikA
avaGoRaNa,avaGoRaNA
avaXAraNa,avaXAraNA
avaXAraka,avaXArikA
avaXIraNa,avaXIraNA
avaXya,avaXyA
avacCexaka,avacCexikA
avacCuriwa,avacCuriwA
avacUla,avacUlA
avacana,avacanA
avacanIya,avacanIyA
avagawi,avagawi
avaguNTaka,avaguNTikA
avaguNTiwa,avaguNTiwA
avajFa,avajFA
avakaliwa,avakaliwA
avakata,avakatA
avaklqpwi,avaklqpwi
avakokila,avakokilA
avakra,avakrA
avakrAnwi,avakrAnwi
avakranxa,avakranxA
avakriya,avakriyA
avakuNTiwa,avakuNTiwA
avalIla,avalIlA
avalagna,avalagnA
avalakRa,avalakRA
avaleKa,avaleKA
avalehaka,avalehikA
avanawi,avanawi
avarNa,avarNA
avaroXaka,avaroXikA
avata,avatI
avatIta,avatItA
avati,avati
avawAraka,avawArikA
avawaraNaka,avawaraNikA
avawawi,avawawi
avawoka,avawokA
avaxAwa,avaxAwA
avaxya,avaxyA
avyAhawa,avyAhawA
avyAkqwa,avyAkqwA
avyApAra,avyApArA
avyApaka,avyApikA
avyApwi,avyApwi
avyApya,avyApyA
avyaFjana,avyaFjanA
avyaWa,avyaWA
avyafga,avyafgA
avyafga,avyafga
avyagra,avyagrA
avyakwa,avyakwA
avyalIka,avyalIkA
avyavaXAna,avyavaXAnA
avyavahArya,avyavahAryA
avyavahiwa,avyavahiwA
avyavasWa,avyavasWA
avyavasWiwa,avyavasWiwA
avyaya,avyayA
avyuwpanna,avyuwpannA
awInxriya,awInxriyA
awIwa,awIwA
awala,awalA
awanwra,awanwrA
awanxra,awanxrA
awanxriNa,awanxriNI
awanxrila,awanxrilA
awanxriwa,awanxriwA
awapaska,awapaskA
awarka,awarkA
awarkiwa,awarkiwA
awasa,awasI
awata,awatA
awiBa,awiBI
awiBUmi,awiBUmi
awiKatva,awiKatvA
awiSayana,awiSayanA
awibAla,awibAlA
awibala,awibalA
awicCawra,awicCawrA
awicCawraka,awicCawrikA
awicara,awicarA
awiga,awigA
awiganXa,awiganXA
awigava,awigavA
awigo,awigo
awigraha,awigrahA
awiguNa,awiguNA
awijAwa,awijAwA
awijana,awijanA
awikAya,awikAyA
awikaSa,awikaSA
awikaWa,awikaWA
awikqcCra,awikqcCrA
awikrAnwa,awikrAnwA
awikramaNIya,awikramaNIyA
awilomaSa,awilomaSA
awimAnuRa,awimAnuRA
awimAwra,awimAwrA
awimAya,awimAyA
awimarwya,awimarwyA
awimawi,awimawi
awimukwa,awimukwA
awimukwi,awimukwi
awinixra,awinixrA
awipAwya,awipAwyA
awipaFca,awipaFcA
awipara,awiparA
awiprasakwi,awiprasakwi
awirikwa,awirikwA
awiromaSa,awiromaSA
awisakwi,awisakwi
awisarva,awisarvA
awivela,awivelA
awivikata,awivikatA
awivqRti,awivqRti
awivqwwi,awivqwwi
awivyApwi,awivyApwi
awiwqRNa,awiwqRNA
awixvaya,awixvayA
awrapa,awrapA
awrawya,awrawyA
awuRAra,awuRArA
awula,awulA
awulya,awulyA
awwa,awwA
awwi,awwi
awyAcAra,awyAcArA
awyArUDa,awyArUDA
awyAxiwya,awyAxiwyA
awyaMkuSa,awyaMkuSA
awyahna,awyahnA
awyanwa,awyanwA
awyanwIna,awyanwInA
awyanwaka,awyanwikA
awyarWa,awyarWA
awyayiwa,awyayiwA
awyukwi,awyukwi
awyupaXa,awyupaXA
axa,axA
axAwra,axAwrI
axAya,axAyA
axAyAxa,axAyAxA
axAyaka,axAyikA
axBuwa,axBuwA
axUra,axUrA
axaBra,axaBrA
axaMRtra,axaMRtrA
axaNdya,axaNdyA
axakRiNa,axakRiNA
axanwa,axanwA
axanwya,axanwyA
axawwa,axawwA
axeva,axevA
axeya,axeyA
axiwi,axiwi
axmara,axmarA
axoRa,axoRA
axqRta,axqRtA
axqRti,axqRti
axqSa,axqSA
axurga,axurgA
axvEwa,axvEwA
axvaya,axvayA
axviwIya,axviwIyA
axya,axyA
axyawana,axyawanA
ayAWArWika,ayAWArWikI
ayAciwa,ayAciwA
ayAjya,ayAjyA
ayAwa,ayAwA
ayOgika,ayOgikI
ayaSasya,ayaSasyA
ayajFa,ayajFA
ayajFiya,ayajFiyA
ayamiwa,ayamiwA
ayanwriwa,ayanwriwA
ayawna,ayawnA
ayoXya,ayoXyA
ayogava,ayogavA
ayogava,ayogavI
ayogya,ayogyA
ayoni,ayoni
ayuga,ayugA
ayugala,ayugalA
ayugma,ayugmA
ayukwa,ayukwA
ayuwa,ayuwA
bABrava,bABravI
bADa,bADA
bAXa,bAXA
bAXika,bAXikI
bAXiwa,bAXiwA
bAdaveya,bAdaveyA
bAha,bAhA
bAhuxa,bAhuxA
bAhya,bAhyA
bAla,bAlA
bAla,bAlI
bAleya,bAleyA
bAliSa,bAliSA
bAlaka,bAlikA
bAlika,bAlikI
bAlina,bAlinI
bArha,bArhA
bArhaspawa,bArhaspawA
bArhaspawya,bArhaspawyA
bArhiNa,bArhiNA
bAswa,bAswA
bAxara,bAxarA
bAxaraka,bAxarikA
bEdAla,bEdAlA
bElva,bElvA
bExala,bExalA
bIBawsa,bIBawsA
bIjala,bIjalA
bIjaka,bIjikA
bIjina,bIjinI
bIjya,bIjyA
baBrava,baBravI
baMXiwa,baMXiwA
baMXura,baMXurA
baMXuxa,baMXuxA
baMhIyasa,baMhIyasI
baMhiRTa,baMhiRTA
baRkaya,baRkayA
baRkayaNa,baRkayaNI
baRkayana,baRkayanI
baRkayiNa,baRkayiNI
baRkayina,baRkayinI
baXira,baXirA
baXiriwa,baXiriwA
bahala,bahalA
bahuka,bahukA
bahula,bahulA
bahulaka,bahulikA
bahuwa,bahuwA
bahuwama,bahuwamA
bahuwara,bahuwarA
bahuwiWa,bahuwiWA
bakeruka,bakerukA
bala,balA
balAka,balAkA
balAkaka,balAkikA
balAkina,balAkinI
balAwkqwa,balAwkqwA
balIyasa,balIyasI
balakRa,balakRA
baliBa,baliBA
baliRTa,baliRTA
balina,balinA
balina,balinI
balvaja,balvajA
balya,balyA
bamBarAla,bamBarAlI
banXUra,banXUrA
banXula,banXulA
banXuwa,banXuwA
banXya,banXyA
banxa,banxI
banxi,banxi
barbaNa,barbaNA
barbata,barbatI
baxXa,baxXA
baxara,baxarI
baxaraka,baxarikA
beda,bedA
biBiwsa,biBiwsA
bibboka,bibbokA
bilvakIya,bilvakIyA
bimbaka,bimbikA
bimbiwa,bimbiwA
bisila,bisilA
bisina,bisinI
bitaka,bitakA
boXika,boXikI
boXiwa,boXiwA
bqMhiwa,bqMhiwA
bqSa,bqSI
bqhawaka,bqhawikA
bqsa,bqsI
brAhma,brAhmA
brAhma,brAhmI
brAhmaNa,brAhmaNA
brAhmaNa,brAhmaNI
brAhmaNya,brAhmaNyA
brAhmya,brAhmyA
brahma,brahmI
brahmaNya,brahmaNyA
brahmamaya,brahmamayA
brahmawa,brahmawA
brahmiRTa,brahmiRTA
brahmina,brahminI
bruva,bruvA
buBURa,buBURA
buBukRa,buBukRA
buBukRiwa,buBukRiwA
buXa,buXA
buXila,buXilA
buXiwa,buXiwA
bukka,bukkA
bukka,bukkI
buli,buli
buxXi,buxXi
cAdAlaka,cAdAlikA
cAkRuRa,cAkRuRI
cAkra,cAkrI
cAkrika,cAkrikI
cAmpila,cAmpilA
cAmuNda,cAmuNdA
cAnxanika,cAnxanikI
cAnxrAyaNika,cAnxrAyaNikI
cAnxramasa,cAnxramasI
cAraka,cArikA
cArma,cArmI
cArmaNa,cArmaNI
cArmaka,cArmikA
cArmika,cArmikI
cArva,cArvI
cAwaka,cAwakI
cAwurASramiNa,cAwurASramiNI
cAwurASramika,cAwurASramikI
cAwurArWAhnika,cAwurArWAhnikI
cAwura,cAwurI
cAwurWaka,cAwurWakI
cAwurWakaka,cAwurWakikA
cAwurWika,cAwurWikI
cAwurika,cAwurikI
cAwurmAsakaka,cAwurmAsakikA
cAwurmAsaka,cAwurmAsikA
cEwra,cEwrI
cEwwika,cEwwikI
cIlaka,cIlikA
cIrNa,cIrNA
cIri,cIri
cIraka,cIrikA
cIruka,cIrukA
cOda,cOdA
cOda,cOdI
cOla,cOlA
cOla,cOlI
cOraka,cOrikA
cURa,cURA
cUda,cUdA
cUdAla,cUdAlA
cUdAra,cUdArA
cUlaka,cUlikA
cUrNa,cUrNI
cUrNi,cUrNi
cUrNaka,cUrNikA
cUrNiwa,cUrNiwA
caFca,caFcA
caFcala,caFcalA
caFcura,caFcurA
caMpa,caMpA
caMpAvawa,caMpAvawI
caNa,caNA
caNNdAla,caNNdAlI
caNda,caNdA
caNdAla,caNdAlA
caNdAlaka,caNdAlikA
caNda,caNdI
caNdaka,caNdikA
cakRuRya,cakRuRyA
cakiwa,cakiwA
cakrAfka,cakrAfkI
cakrAka,cakrAkI
cakrakaka,cakrakikA
cakraka,cakrikA
cakriya,cakriyA
cala,calA
calana,calanA
caliwa,caliwA
camU,camU
camawkqwi,camawkqwi
campU,campU
canxra,canxrI
canxraka,canxrikA
capala,capalA
capeta,capetA
capetaka,capetikA
cara,carA
carBata,carBatI
cara,carI
carama,caramA
carca,carcA
carcara,carcarI
carcaraka,carcarikA
carcaka,carcikA
carciwa,carciwA
cariwa,cariwA
carmaNvawa,carmaNvawI
carmamaya,carmamayA
carmiNa,carmiNI
carmaka,carmikA
carpata,carpatI
carva,carvA
carvaNa,carvaNA
carviwa,carviwA
carya,caryA
catUllola,catUllolA
cataka,catakA
cataka,catikA
catula,catulA
catulola,catulolA
cawuRka,cawuRkA
cawuRtaya,cawuRtayA
cawuRtaya,cawuRtayI
cawura,cawurA
cawurWa,cawurWI
cawurWakaka,cawurWakikA
cawvAriMSaw,cawvAriMSaw
ceRta,ceRtA
ceRtiwa,ceRtiwA
ceda,cedI
cedaka,cedikA
celaka,celikA
ceta,cetI
ceti,ceti
cetaka,cetikA
cewana,cewanA
cewana,cewanI
ceya,ceyA
ciFca,ciFcA
cihniwa,cihniwA
cikIrRa,cikIrRA
cikIrRiwa,cikIrRiwA
cikiwsa,cikiwsA
cikka,cikkA
cikkaNa,cikkaNA
cikkaNa,cikkaNI
cikura,cikurA
cilamIlaka,cilamIlikA
cilamilaka,cilamilikA
cilla,cillA
cilla,cillI
cillaka,cillikA
cinmaya,cinmayA
cinwa,cinwA
cinwana,cinwanA
cinwida,cinwidI
cinwiwa,cinwiwA
cinwiwi,cinwiwi
cinwiya,cinwiyA
cinwya,cinwyA
cipata,cipatA
cira,cirA
cirBata,cirBatI
ciraNta,ciraNtI
ciranwana,ciranwanA
ciranwana,ciranwanI
cirawna,cirawnA
cirawna,cirawnI
ciriNta,ciriNtI
civi,civi
ciwa,ciwA
ciw,ciw
ciwi,ciwi
ciwaka,ciwikA
ciwra,ciwrA
ciwrala,ciwralA
ciwriNa,ciwriNI
ciwrina,ciwrinI
ciwriwa,ciwriwA
ciwwa,ciwwA
coraka,corikA
coriwa,coriwA
cota,cotI
coxana,coxanA
coxiwa,coxiwA
cuNda,cuNdA
cuNta,cuNtA
cukra,cukrA
culla,cullI
culli,culli
culumpa,culumpA
cumba,cumbA
cunxa,cunxI
cura,curA
cura,curI
curi,curi
cyuwa,cyuwA
cyuwi,cyuwi
dAfkqwi,dAfkqwi
dAkina,dAkinI
dAmara,dAmarA
dIna,dInA
dambara,dambarA
dimBaka,dimBikA
dimbaka,dimbikA
duli,duli
eNa,eNI
eRa,eRA
eRaNaka,eRaNikA
eXa,eXA
eda,edA
ejaka,ejikA
eka,ekA
ekAxaSa,ekAxaSI
ekAxaSana,ekAxaSanI
ekIya,ekIyA
ekaSa,ekaSa
ekala,ekalA
ekawama,ekawamA
ekawara,ekawarA
ekaka,ekikA
ela,elA
elIka,elIkA
ena,enI
ewa,ewA
ewAxqSa,ewAxqSA
ewAxqSa,ewAxqSI
ewAxqkRa,ewAxqkRI
ewaxIya,ewaxIyA
gADa,gADA
gANapawa,gANapawA
gANapawa,gANapawI
gAWa,gAWA
gAWaka,gAWikA
gAXa,gAXA
ga,gA
gAfga,gAfgA
gAfga,gAfgI
gAfgeya,gAfgeyA
gAfgeya,gAfgeyI
gAhiwa,gAhiwA
gAliwa,gAliwA
gAmina,gAminI
gAnXAra,gAnXArI
gAnXarva,gAnXarvA
gAnXarva,gAnXarvI
gAnwra,gAnwrI
gAnxina,gAnxinI
gArBa,gArBI
gArBika,gArBikI
gArXra,gArXrI
gArhameXa,gArhameXI
gAruda,gArudI
gAruwmawa,gAruwmawA
gAruwmawa,gAruwmawI
gArxaBa,gArxaBI
gAwAgawaka,gAwAgawikA
gAwAgawika,gAwAgawikI
gAwAnugawaka,gAwAnugawikA
gAwAnugawika,gAwAnugawikI
gAwra,gAwrI
gAyana,gAyanI
gAyawra,gAyawrI
gAyawriNa,gAyawriNI
gAyawrina,gAyawrinI
gEra,gErA
gEra,gErI
gEraka,gErikA
gErika,gErikI
gIrNa,gIrNA
gIrNi,gIrNi
gIwa,gIwA
gIwi,gIwi
gIwaka,gIwikA
gIwina,gIwinI
gONa,gONI
gOSawaka,gOSawikA
gOSawika,gOSawikI
gOra,gOrA
gOra,gOrI
gOraviwa,gOraviwA
gOraka,gOrikA
gOwama,gOwamI
gUDa,gUDA
gURaNa,gURaNA
gU,gU
gUna,gUnA
gaBIra,gaBIrA
gaBIraka,gaBIrikA
gaFjana,gaFjanA
gaFjaka,gaFjikA
gaNakaka,gaNakikA
gaNana,gaNanA
gaNdURa,gaNdURA
gaNdaka,gaNdakA
gaNdaka,gaNdakI
gaNdaka,gaNdikA
gaNeruka,gaNerukA
gaNeya,gaNeyA
gaNi,gaNi
gaNaka,gaNikA
gaNina,gaNinA
gaNina,gaNinI
gaNiwa,gaNiwA
gaddaraka,gaddarikA
gadula,gadulA
gadura,gadurA
gafga,gafgA
gafgAka,gafgAkA
gafgaka,gafgakA
gafgaka,gafgikA
gahana,gahanA
gahvara,gahvarA
gahvara,gahvarI
gajawa,gajawA
galBa,galBA
galanwa,galanwI
galanwaka,galanwikA
galiwa,galiwA
galya,galyA
gama,gamA
gamBAra,gamBArI
gamBAraka,gamBArikA
gamBIra,gamBIrA
gamBIraka,gamBIrikA
gamakaka,gamakikA
gamanIya,gamanIyA
gamaka,gamikA
gamina,gaminI
gamya,gamyA
ganXAla,ganXAlI
ganXavawa,ganXavawI
ganXaka,ganXikA
ganwra,ganwrI
gara,garA
garBavawa,garBavawI
garBewqpwa,garBewqpwA
garBiNa,garBiNI
garBiwa,garBiwA
gara,garI
garIyasa,garIyasI
garXana,garXanA
garXina,garXinI
garXiwa,garXiwA
gargara,gargara
garha,garhA
garhaNa,garhaNA
garhya,garhyA
gariRTa,gariRTA
gariwa,gariwA
garja,garjA
garjiwa,garjiwA
garmuw,garmuw
garwaka,garwikA
garxaBa,garxaBI
gava,gavA
gaveRa,gaveRA
gaveRaNa,gaveRaNA
gaveRiwa,gaveRiwA
gaveXuka,gaveXukA
gavedu,gavedu
gavina,gavinI
gavya,gavyA
gavyUwi,gavyUwi
gawa,gawA
gawi,gawi
gawvara,gawvarA
gawvara,gawvarI
gaxa,gaxA
gaxgaxa,gaxgaxA
gaxina,gaxinI
gaxya,gaxyA
gehina,gehinI
geya,geyA
gila,gilA
gili,gili
giliwa,giliwA
gira,girA
gir,gir
giraka,girikA
giriwa,giriwA
glAna,glAnA
glAni,glAni
gma,gmA
goNa,goNI
goRTa,goRTI
goRTi,goRTi
goXa,goXA
goXaka,goXikA
gohya,gohyA
gopAyiwa,gopAyiwA
gopa,gopI
gopwra,gopwrI
gowama,gowamI
gqRti,gqRti
gqXra,gqXrA
gqXya,gqXyA
gqhIwa,gqhIwA
gqhIwina,gqhIwinI
gqhiNa,gqhiNI
gqhina,gqhinI
gqhya,gqhyA
grAha,grAhA
grAha,grAhI
grAhakaka,grAhakikA
grAhaka,grAhikA
grAmataka,grAmatikA
grAmeya,grAmeyA
grAmeya,grAmeyI
grAmaka,grAmikA
grAmika,grAmikI
grAmya,grAmyA
grERmakaka,grERmakikA
grERmaka,grERmikA
grEva,grEvA
grEva,grEvI
grEveya,grEveyA
grEveya,grEveyI
grIRma,grIRmA
grIva,grIvA
grIvAlaka,grIvAlikA
graWiwa,graWiwA
grahIwra,grahIwrI
grahaNa,grahaNI
grahaNi,grahaNi
grahila,grahilA
granWana,granWanA
granWila,granWilA
granWiwa,granWiwA
graswa,graswA
guFja,guFjA
guFjaka,guFjikA
guNIBUwa,guNIBUwA
guNTiwa,guNTiwA
guNanIya,guNanIyA
guNanaka,guNanikA
guNdiwa,guNdiwA
guNaka,guNikA
guNina,guNinI
guNiwa,guNiwA
guNya,guNyA
guPiwa,guPiwA
guda,gudA
gudAka,gudAkA
guha,guhA
guhya,guhyA
gulma,gulmI
gulmina,gulminI
gumPana,gumPanA
gumPiwa,gumPiwA
gupwa,gupwA
gupwi,gupwi
guruka,gurukA
guruka,gurukI
gurva,gurvI
gurviNa,gurviNI
guta,gutI
gutaka,gutikA
hAPaka,hAPikA
hAfgara,hAfgarA
hAla,hAlA
hAla,hAlI
hAlahala,hAlahalI
hAlina,hAlinI
hArina,hArinI
hAriwa,hAriwA
hArya,hAryA
hAsaka,hAsikA
hAsya,hAsyA
hAtika,hAtikI
hEma,hEmA
hEmala,hEmalA
hEmana,hEmanA
hEmanwaka,hEmanwikA
hEmavawa,hEmavawA
hEmavawa,hEmavawI
hEwuka,hEwukA
hIra,hIrA
hUwa,hUwA
hUwi,hUwi
haMsa,haMsI
haMsaka,haMsikA
haNda,haNdI
haNdaka,haNdikA
hala,halA
halAhala,halAhalA
halIRa,halIRA
halina,halinI
halya,halyA
hamBa,hamBA
hamba,hambA
hana,hanI
hanwra,hanwrI
hara,harA
harRa,harRA
harRaNa,harRaNA
harRika,harRikI
hariNa,hariNA
hariNa,hariNI
hariNyaya,hariNyayA
hariwa,hariwA
hariwAla,hariwAlA
harixra,harixrA
harmiwa,harmiwA
harwra,harwrI
hasa,hasA
hasana,hasanI
hasanwa,hasanwI
hasaka,hasikA
hasiwa,hasiwA
haswina,haswinI
haswya,haswyA
haviwra,haviwrI
havya,havyA
hawa,hawA
hawi,hawi
hawika,hawikI
hawya,hawyA
haya,hayI
heRa,heRA
hekka,hekkA
hela,helA
helana,helanA
hevAkasa,hevAkasA
hevAkina,hevAkinI
hewi,hewi
hewuka,hewukA
hewuwa,hewuwA
heya,heyA
hiMsa,hiMsA
hiMsAluka,hiMsAlukA
hiMsana,hiMsanA
hiMsika,hiMsikI
hiMsra,hiMsrA
hiMsya,hiMsyA
hiNda,hiNdI
hikka,hikkA
hilvala,hilvalA
hima,himA
hinxola,hinxolA
hiraNmaya,hiraNmayA
hiwa,hiwA
hlAsa,hlAsa
hlAxina,hlAxinI
hlINa,hlINA
hlINIya,hlINIyA
hla,hlI
hlIka,hlIkA
hlIwa,hlIwA
hlasva,hlasvA
hlawi,hlawi
hlaxina,hlaxinI
hleRa,hleRA
holAka,holAkA
hola,holI
holaka,holikA
homIya,homIyA
homya,homyA
hora,horA
howra,howrA
howra,howrI
hqNIya,hqNIyA
hqNiya,hqNiyA
hqRiwa,hqRiwA
hqRta,hqRtA
hqRti,hqRti
hqwa,hqwA
hqwi,hqwi
hqxayafgama,hqxayafgamA
hqxayaka,hqxayikA
hqxayina,hqxayinI
hqxya,hqxyA
hulahula,hulahulI
huwa,huwA
hyaswana,hyaswanA
hyaswya,hyaswyA
iBya,iByA
iByaka,iByikA
iRIka,iRIkA
iRaka,iRikA
iRta,iRta
iRti,iRti
iRtaka,iRtikA
iSIka,iSIkA
iXya,iXyA
icCa,icCA
ida,idA
idaka,idikA
ifga,ifgA
ifguxa,ifguxI
ihawya,ihawyA
ijya,ijyA
ikRukIya,ikRukIyA
ila,ilA
ilaka,ilikA
ina,inA
inxIvariNa,inxIvariNI
inxira,inxirA
inxrANa,inxrANI
inxumawa,inxumawI
ipsiwa,ipsiwA
ira,irA
irvAru,irvAru
iwara,iwarA
iwvara,iwvarI
iwya,iwyA
ixAnInwana,ixAnInwanI
ixXa,ixXA
iyawwa,iyawwA
jAGana,jAGanI
jATara,jATarI
jAfgala,jAfgalA
jAfgala,jAfgalI
jAgara,jAgarA
jAgariwa,jAgariwA
jAgariwra,jAgariwrI
jAgaruka,jAgarukA
jAgarwi,jAgarwi
jAgarya,jAgaryA
jAgriya,jAgriyA
jAhnava,jAhnavI
jAlakina,jAlakinI
jAlina,jAlinI
jAlma,jAlmA
jAlma,jAlmI
jAlmakaka,jAlmakikA
jAlmaka,jAlmikA
jAma,jAmA
jAmi,jAmi
jAnaka,jAnakI
jAriNa,jAriNI
jAwa,jAwA
jAwakaka,jAwakikA
jAwi,jAwi
jAwuRa,jAwuRA
jAwuRa,jAwuRI
jAwya,jAwyA
jAya,jAyA
jAyina,jAyinI
jEvAwqka,jEvAwqkI
jEwra,jEwrA
jEwra,jEwrI
jFa,jFA
jFAnamaya,jFAnamayA
jFAnina,jFAninI
jFApakaka,jFApakikA
jFApiwa,jFApiwA
jFAwa,jFAwA
jFIpsa,jFIpsA
jFapiwa,jFapiwA
jFapwa,jFapwA
jFapwi,jFapwi
jIna,jInA
jIrNa,jIrNA
jIrNakaH,jIrNakaH
jIrNi,jIrNi
jIva,jIvA
jIvana,jIvanA
jIvana,jIvanI
jIvanwa,jIvanwI
jIvaka,jIvikA
jIvina,jIvinI
jIviwa,jIviwA
jIvya,jIvyA
jU,jU
jUrwi,jUrwi
jUwi,jUwi
jaGanya,jaGanyA
jaTara,jaTarA
jada,jadA
jadawa,jadawA
jafGa,jafGA
jafGAla,jafGAlA
jafGila,jafGilA
jafgama,jafgamA
jagXa,jagXA
jagXi,jagXi
jagala,jagalA
jagawa,jagawI
jahawa,jahawI
jakRi,jakRi
jala,jalA
jalAka,jalAkA
jalAluka,jalAlukA
jalUka,jalUkA
jalaka,jalikA
jalpAka,jalpAkA
jalpakaka,jalpakikA
jalpaka,jalpikA
jaluka,jalukA
jamBa,jamBA
jamBaka,jamBakA
jamBaka,jamBikA
jambAlina,jambAlinI
jambU,jambU
jambUka,jambUkI
jambu,jambu
jambuka,jambukI
jana,janI
janU,janU
janakaka,janakikA
janana,jananA
janana,jananI
janani,janani
janas,janas
janawa,janawA
janayiwra,janayiwrI
jani,jani
janaka,janikA
janiwa,janiwA
janiwra,janiwrI
janu,janu
janwuka,janwukA
janwumawa,janwumawI
janya,janyA
jara,jarA
jaraNa,jaraNA
jaraTa,jaraTA
jarawa,jarawI
jariNa,jariNI
jariwa,jariwA
jarjara,jarjarA
jarjarIka,jarjarIkA
jarjariwa,jarjariwA
jata,jatA
jatAla,jatAlA
jatila,jatilA
jatina,jatinI
java,javA
javana,javanA
javana,javanI
javanaka,javanikA
jawUka,jawUkA
jawuka,jawukA
jawuka,jawukI
jayina,jayinI
jayya,jayyA
jiGAMsa,jiGAMsA
jiGawsa,jiGawsA
jiGqkRa,jiGqkRA
jiGra,jiGrA
jigIRa,jigIRA
jihma,jihmA
jihva,jihvA
jihvala,jihvalA
jijFAsa,jijFAsA
jina,jinA
jiwa,jiwA
jiwi,jiwi
jiwvara,jiwvarA
jiwvara,jiwvarI
joRa,joRA
joRaka,joRikA
joRiw,joRiw
jqmBa,jqmBA
jqmBaka,jqmBikA
juRta,juRtA
jugupsa,jugupsA
juhU,juhU
juhowi,juhowi
jvAla,jvAlA
jvalana,jvalanA
jvaliwa,jvaliwA
jvariNa,jvariNI
jvariwa,jvariwA
jya,jyA
jyAni,jyAni
jyAyasa,jyAyasI
jyeRTa,jyeRTA
jyowiRa,jyowiRI
jyowirmaya,jyowirmayI
jyowsna,jyowsnA
jyowsna,jyowsnI
kAFca,kAFcI
kAFcana,kAFcanA
kAFcana,kAFcanI
kAFci,kAFci
