
gaNa	iw_XAwu	mng	paxI	Heritage	saMsAXanI	Apte-dict-form
BvAxiH	makiz	maNdane	A.pa	-	mak1	mafk
BvAxiH	kakaz	lOlye	A.pa	-	kak1	kak
BvAxiH	kukaz	AxAne	A.pa	-	kuk1	kuk
BvAxiH	vqkaz	AxAne	A.pa	-	vqk1	vqk
BvAxiH	cakaz	prawiGAwe	A.pa	-	cak1	cak
BvAxiH	cakaz	prawiGAwe	pa.pa	-	cak1	cak
BvAxiH	kakiz	gawO	A.pa	-	kak2	kafk
BvAxiH	vakiz	gawO	A.pa	-	vak1	vafk
BvAxiH	vakiz	kOtilye	A.pa	-	vak1	vafk
BvAxiH	Svakiz	gawO	A.pa	-	Svak1	Svafk
BvAxiH	wrakiz	gawO	A.pa	-	wrak1	wrafk
BvAxiH	DOkqz	gawO	A.pa	-	DOk1	DOk
BvAxiH	wrOkqz	gawO	A.pa	-	wrOk1	wrOk
BvAxiH	RvaRkaz	gawO	A.pa	-	RvaRk1	svaRk
BvAxiH	vaskaz	gawO	A.pa	-	vask1	vask
BvAxiH	maskaz	gawO	A.pa	-	mask1	mask
BvAxiH	tikqz	gawO	A.pa	-	tik1	tik
BvAxiH	tIkqz	gawO	A.pa	-	tIk1	tIk
BvAxiH	wikqz	gawO	A.pa	-	wik1	wik
BvAxiH	raGiz	gawO	A.pa	-	raG1	rafG
BvAxiH	aGiz	gawyAkRepe	A.pa	-	aG1	afG
BvAxiH	vaGiz	gawyAkRepe	A.pa	-	vaG1	vafG
BvAxiH	maGiz	gawyAkRepe	A.pa	-	maG1	mafG
BvAxiH	rAGqz	sAmarWye	A.pa	-	rAG1	rAG
BvAxiH	lAGqz	sAmarWye	A.pa	-	lAG1	lAG
BvAxiH	XrAGqz	sAmarWye	A.pa	-	XrAG1	XrAG
BvAxiH	xrAGqz	AyAme	A.pa	xrAG	xrAG1	xrAG
BvAxiH	xrAGqz	AyAse	A.pa	xrAG	xrAG1	xrAG
BvAxiH	xrAGqz	sAmarWye	A.pa	xrAG	xrAG1	xrAG
BvAxiH	SlAGqz	kawWane	A.pa	SlAG	SlAG1	SlAG
BvAxiH	Pakkaz	nIcErgawO	pa.pa	-	Pakk1	Pakk
BvAxiH	wakaz	hasane	pa.pa	-	wak1	wak
BvAxiH	wakiz	kqcCrajIvane	pa.pa	-	wak2	wafk
BvAxiH	bukkaz	BaRaNe	pa.pa	-	bukk1	bukk
BvAxiH	bukkaz	BARaNe	pa.pa	-	bukk1	bukk
BvAxiH	kaKaz	hasane	pa.pa	-	kaK1	kaK
BvAxiH	oKqz	alamarWe	pa.pa	-	oK1	oK
BvAxiH	oKqz	SoRaNe	pa.pa	-	oK1	oK
BvAxiH	rAKqz	alamarWe	pa.pa	-	rAK1	rAK
BvAxiH	rAKqz	SoRaNe	pa.pa	-	rAK1	rAK
BvAxiH	lAKqz	alamarWe	pa.pa	-	lAK1	lAK
BvAxiH	lAKqz	SoRaNe	pa.pa	-	lAK1	lAK
BvAxiH	xrAKqz	alamarWe	pa.pa	-	xrAK1	xrAK
BvAxiH	xrAKqz	SoRaNe	pa.pa	-	xrAK1	xrAK
BvAxiH	XrAKqz	alamarWe	pa.pa	-	XrAK1	XrAK
BvAxiH	XrAKqz	SoRaNe	pa.pa	-	XrAK1	XrAK
BvAxiH	SAKqz	vyApwO	pa.pa	-	SAK1	SAK
BvAxiH	SlAKqz	vyApwO	pa.pa	-	SlAK1	SlAK
BvAxiH	uKaz	gawO	pa.pa	-	uK2	uK
BvAxiH	uKiz	gawO	pa.pa	-	uK1	ufK
BvAxiH	vaKaz	gawO	pa.pa	-	vaK1	vaK
BvAxiH	vaKiz	gawO	pa.pa	-	vaK2	vafK
BvAxiH	maKaz	gawO	pa.pa	-	maK1	maK
BvAxiH	maKiz	gawO	pa.pa	-	maK2	mafK
BvAxiH	NaKaz	gawO	pa.pa	-	NaK1	naK
BvAxiH	NaKiz	gawO	pa.pa	-	NaK2	nafK
BvAxiH	raKaz	gawO	pa.pa	-	raK1	raK
BvAxiH	raKiz	gawO	pa.pa	-	raK2	rafK
BvAxiH	laKaz	gawO	pa.pa	-	laK1	laK
BvAxiH	laKiz	gawO	pa.pa	-	laK2	lafK
BvAxiH	iKaz	gawO	pa.pa	-	iK1	iK
BvAxiH	iKiz	gawO	pa.pa	-	iK2	ifK
BvAxiH	IKiz	gawO	pa.pa	IfK	IK1	IfK
BvAxiH	ragiz	gawO	pa.pa	-	rag1	rafg
BvAxiH	lagiz	gawO	pa.pa	lafg	lag1	lafg
BvAxiH	agiz	gawO	pa.pa	afg	ag2	afg
BvAxiH	vagiz	gawO	pa.pa	-	vag1	vafg
BvAxiH	magiz	gawO	pa.pa	-	mag1	mafg
BvAxiH	wagiz	gawO	pa.pa	-	wag1	wafg
BvAxiH	wvagiz	gawO	pa.pa	-	wvag1	wvafg
BvAxiH	wvagiz	kampane	pa.pa	-	wvag1	wvafg
BvAxiH	Sragiz	gawO	pa.pa	-	Srag1	Srafg
BvAxiH	Slagiz	gawO	pa.pa	-	Slag1	Slafg
BvAxiH	igiz	gawO	pa.pa	ifg	ig1	ifg
BvAxiH	rigiz	gawO	pa.pa	-	rig1	rifg
BvAxiH	ligiz	gawO	pa.pa	-	lig1	lifg
BvAxiH	yugiz	varjane	pa.pa	-	yug1	yufg
BvAxiH	jugiz	varjane	pa.pa	-	jug1	jufg
BvAxiH	GaGaz	hasane	pa.pa	-	GaG1	GaG
BvAxiH	laGiz	BojananivqwwO	A.pa	lafG	laG1	lafG
BvAxiH	laGiz	gawO	A.pa	lafG	laG1	lafG
BvAxiH	laGiz	SoRaNe	pa.pa	lafG	laG2	lafG
BvAxiH	maGiz	kEwave	A.pa	-	maG1	mafG
BvAxiH	maGiz	maNdane	pa.pa	-	maG2	mafG
BvAxiH	SiGiz	AGrANe	pa.pa	-	SiG1	SifG
BvAxiH	varcaz	xIpwO	A.pa	-	varc1	varc
BvAxiH	Racaz	samavAye	A.pa	sac	Rac2	sac
BvAxiH	Racaz	samavAye	pa.pa	-	Rac2	sac
BvAxiH	locqz	xarSane	A.pa	loc	loc1	loc
BvAxiH	Sacaz	vyakwAyAM_vAci	A.pa	-	Sac1	Sac
BvAxiH	Svacaz	gawO	A.pa	-	Svac1	Svac
BvAxiH	Svaciz	gawO	A.pa	-	Svac2	SvaFc
BvAxiH	kacaz	banXane	A.pa	-	kac1	kac
BvAxiH	kaciz	banXane	A.pa	-	kac2	kaFc
BvAxiH	kaciz	xIpwO	A.pa	-	kac2	kaFc
BvAxiH	kAciz	banXane	A.pa	-	kAc1	kAFc
BvAxiH	kAciz	xIpwO	A.pa	-	kAc1	kAFc
BvAxiH	macaz	kalkane	A.pa	-	mac1	mac
BvAxiH	muciz	kalkane	A.pa	-	muc1	muFc
BvAxiH	maciz	pUjane	A.pa	-	mac2	maFc
BvAxiH	maciz	ucCrAye	A.pa	-	mac2	maFc
BvAxiH	maciz	XAraNe	A.pa	-	mac2	maFc
BvAxiH	paciz	vyakwIkaraNe	A.pa	-	pac2	paFc
BvAxiH	Rwucaz	prasAxe	A.pa	-	Rwuc1	swuc
BvAxiH	qjaz	gawO	A.pa	qj	qj1	qj
BvAxiH	qjaz	sWAnArjane	A.pa	qj	qj1	qj
BvAxiH	qjaz	upArjane	A.pa	qj	qj1	qj
BvAxiH	qjiz	Barjane	A.pa	-	qj2	qFj
BvAxiH	BqjIz	Barjane	A.pa	-	Bqj1	Bqj
BvAxiH	ejqz	kampane	pa.pa	ej	ej1	ej
BvAxiH	Brejqz	xIpwO	A.pa	-	Brej1	Brej
BvAxiH	BrAjqz	xIpwO	A.pa	BrAj	BrAj1	BrAj
BvAxiH	Ijaz	gawO	A.pa	-	Ij1	Ij
BvAxiH	Ijaz	kuwsAyAm	A.pa	-	Ij1	Ij
BvAxiH	Sucaz	Soke	pa.pa	Suc#1	Suc1	Suc
BvAxiH	kucaz	Sabxe	pa.pa	-	kuc1	kuc
BvAxiH	kuncaz	alpIBAve	pa.pa	-	kunc1	kuFc
BvAxiH	kuncaz	gawikOtilye	pa.pa	-	kunc1	kuFc
BvAxiH	kuncaz	kOtilye	pa.pa	-	kunc1	kuFc
BvAxiH	kruncaz	alpIBAve	pa.pa	kruFc#1	krunc1	kruFc
BvAxiH	kruncaz	gawO	pa.pa	kruFc#1	krunc1	kruFc
BvAxiH	kruncaz	kOtilye	pa.pa	kruFc#1	krunc1	kruFc
BvAxiH	luncaz	apanayane	pa.pa	luFc	lunc1	luFc
BvAxiH	ancuz	gawO	A.pa	-	anc1	aFc
BvAxiH	ancuz	gawO	pa.pa	-	anc1	aFc
BvAxiH	ancuz	pUjane	pa.pa	aFc	anc1	aFc
BvAxiH	ancuz	yAFcAyAm	A.pa	aFc	anc1	aFc
BvAxiH	ancuz	yAFcAyAm	pa.pa	aFc	anc1	aFc
BvAxiH	vancuz	gawO	pa.pa	vaFc	vanc1	vaFc
BvAxiH	cancuz	gawO	pa.pa	caFc	canc1	caFc
BvAxiH	wancuz	gawO	pa.pa	-	wanc1	waFc
BvAxiH	wvancuz	gawO	pa.pa	-	wvanc1	wvaFc
BvAxiH	mruncuz	gawO	pa.pa	-	mrunc1	mruFc
BvAxiH	mluncuz	gawO	pa.pa	-	mlunc1	mluFc
BvAxiH	mrucuz	gawO	pa.pa	-	mruc1	mruc
BvAxiH	mlucuz	gawO	pa.pa	-	mluc1	mluc
BvAxiH	grucuz	sweyakaraNe	pa.pa	-	gruc1	gruc
BvAxiH	glucuz	sweyakaraNe	pa.pa	-	gluc1	gluc
BvAxiH	kujuz	sweyakaraNe	pa.pa	-	kuj1	kuj
BvAxiH	Kujuz	sweyakaraNe	pa.pa	-	Kuj1	Kuj
BvAxiH	gluncuz	gawO	pa.pa	-	glunc1	gluFc
BvAxiH	Rasjaz	gawO	pa.pa	-	Rasj1	sasj
BvAxiH	gujiz	avyakwe_Sabxe	pa.pa	guFj	guj1	guFj
BvAxiH	arcaz	pUjAyAm	pa.pa	-	arc1	arc
BvAxiH	mleCaz	avyakwAyAM_vAci	pa.pa	mlecC	mleC1	mleC
BvAxiH	mleCaz	avyakwe_Sabxe	pa.pa	mlecC	mleC1	mleC
BvAxiH	laCaz	lakRaNe	pa.pa	-	laC1	laC
BvAxiH	lACiz	lakRaNe	pa.pa	lAFC	lAC1	lAFC
BvAxiH	vACiz	icCAyAm	pa.pa	vAFC	vAC1	vAFC
BvAxiH	ACiz	AyAme	pa.pa	-	AC1	AFC
BvAxiH	hrICaz	lajjAyAm	pa.pa	-	hrIC1	hrIC
BvAxiH	hurCAz	kOtilye	pa.pa	-	hurC1	hurC
BvAxiH	murCAz	mohane	pa.pa	mUrC	murC1	murC
BvAxiH	murCAz	samucCrAye	pa.pa	mUrC	murC1	murC
BvAxiH	sPurCAz	viswqwO	pa.pa	-	sPurC1	sPurC
BvAxiH	yuCaz	pramAxe	pa.pa	yu#2	yuC1	yuC
BvAxiH	uCiz	uFCe	pa.pa	uFC	uC2	uFC
BvAxiH	uCIz	vivAse	pa.pa	uFC	uC1	uC
