x	y	s	xy	yx	pxy	pyx
20	25	97	45	52	0.464	0.536
20	26	46	21	25	0.457	0.543
20	28	117	84	33	0.718	0.282
20	31	2	0	2	0.0	1.0
20	32	6	2	4	0.333	0.667
20	34	15	4	11	0.267	0.733
20	35	9	5	4	0.556	0.444
20	40	24	8	16	0.333	0.667
20	44	13	8	5	0.615	0.385
20	47	21	9	12	0.429	0.571
20	49	17	11	6	0.647	0.353
20	60	5	5	0	1.0	0.0
20	64	4	2	2	0.5	0.5
20	75	8	0	8	0.0	1.0
20	80	12	10	2	0.833	0.167
20	82	3	1	2	0.333	0.667
20	97	4	4	0	1.0	0.0
20	300	1	1	0	1.0	0.0
21	22	33	9	24	0.273	0.727
21	23	3	3	0	1.0	0.0
21	24	41	4	37	0.098	0.902
21	25	22	17	5	0.773	0.227
21	26	21	18	3	0.857	0.143
21	28	44	22	22	0.5	0.5
21	32	1	0	1	0.0	1.0
21	34	20	8	12	0.4	0.6
21	35	5	4	1	0.8	0.2
21	40	16	8	8	0.5	0.5
21	44	2	1	1	0.5	0.5
21	47	15	1	14	0.067	0.933
21	49	6	3	3	0.5	0.5
21	65	1	1	0	1.0	0.0
21	75	6	4	2	0.667	0.333
21	80	2	2	0	1.0	0.0
21	81	1	1	0	1.0	0.0
21	92	1	1	0	1.0	0.0
21	97	2	2	0	1.0	0.0
21	300	1	1	0	1.0	0.0
22	23	6	6	0	1.0	0.0
22	24	52	28	24	0.538	0.462
22	25	66	48	18	0.727	0.273
22	26	36	25	11	0.694	0.306
22	28	102	69	33	0.676	0.324
22	32	7	5	2	0.714	0.286
22	34	33	16	17	0.485	0.515
22	35	5	5	0	1.0	0.0
22	40	34	26	8	0.765	0.235
22	44	4	1	3	0.25	0.75
22	47	22	7	15	0.318	0.682
22	48	1	0	1	0.0	1.0
22	49	8	5	3	0.625	0.375
22	60	4	4	0	1.0	0.0
22	75	13	9	4	0.692	0.308
22	80	6	2	4	0.333	0.667
22	92	3	2	1	0.667	0.333
22	93	1	0	1	0.0	1.0
22	95	1	1	0	1.0	0.0
22	97	3	3	0	1.0	0.0
22	300	2	2	0	1.0	0.0
23	24	5	1	4	0.2	0.8
23	25	2	0	2	0.0	1.0
23	26	16	8	8	0.5	0.5
23	28	4	0	4	0.0	1.0
23	32	3	2	1	0.667	0.333
23	34	6	3	3	0.5	0.5
23	35	3	1	2	0.333	0.667
23	40	1	0	1	0.0	1.0
23	44	1	0	1	0.0	1.0
23	47	7	3	4	0.429	0.571
23	49	5	4	1	0.8	0.2
23	60	4	3	1	0.75	0.25
23	61	2	0	2	0.0	1.0
23	64	1	1	0	1.0	0.0
23	75	1	0	1	0.0	1.0
24	25	312	222	90	0.712	0.288
24	26	205	176	29	0.859	0.141
24	28	329	265	64	0.805	0.195
24	31	1	0	1	0.0	1.0
24	32	17	8	9	0.471	0.529
24	34	54	43	11	0.796	0.204
24	35	10	8	2	0.8	0.2
24	40	153	128	25	0.837	0.163
24	44	38	21	17	0.553	0.447
24	47	74	42	32	0.568	0.432
24	49	35	30	5	0.857	0.143
24	60	12	11	1	0.917	0.083
24	64	6	3	3	0.5	0.5
24	75	70	41	29	0.586	0.414
24	76	1	1	0	1.0	0.0
24	79	4	4	0	1.0	0.0
24	80	14	14	0	1.0	0.0
24	81	5	5	0	1.0	0.0
24	82	1	1	0	1.0	0.0
24	84	1	1	0	1.0	0.0
24	92	8	7	1	0.875	0.125
24	93	1	1	0	1.0	0.0
24	95	2	2	0	1.0	0.0
24	97	14	12	2	0.857	0.143
24	300	5	5	0	1.0	0.0
25	26	238	140	98	0.588	0.412
25	27	2	1	1	0.5	0.5
25	28	469	370	99	0.789	0.211
25	32	42	23	19	0.548	0.452
25	34	115	37	78	0.322	0.678
25	35	27	16	11	0.593	0.407
25	40	104	59	45	0.567	0.433
25	43	1	0	1	0.0	1.0
25	44	44	10	34	0.227	0.773
25	47	111	35	76	0.315	0.685
25	49	60	33	27	0.55	0.45
25	52	1	0	1	0.0	1.0
25	60	29	21	8	0.724	0.276
25	61	11	3	8	0.273	0.727
25	64	20	15	5	0.75	0.25
25	65	3	2	1	0.667	0.333
25	75	35	13	22	0.371	0.629
25	76	1	0	1	0.0	1.0
25	79	2	1	1	0.5	0.5
25	80	21	15	6	0.714	0.286
25	81	1	1	0	1.0	0.0
25	82	1	0	1	0.0	1.0
25	85	1	1	0	1.0	0.0
25	92	12	5	7	0.417	0.583
25	93	1	1	0	1.0	0.0
25	95	6	4	2	0.667	0.333
25	97	6	5	1	0.833	0.167
25	99	2	1	1	0.5	0.5
25	300	7	4	3	0.571	0.429
26	27	1	0	1	0.0	1.0
26	28	254	157	97	0.618	0.382
26	31	1	0	1	0.0	1.0
26	32	24	14	10	0.583	0.417
26	34	89	30	59	0.337	0.663
26	35	17	6	11	0.353	0.647
26	40	69	30	39	0.435	0.565
26	44	50	15	35	0.3	0.7
26	47	114	53	61	0.465	0.535
26	49	57	36	21	0.632	0.368
26	60	24	19	5	0.792	0.208
26	61	7	1	6	0.143	0.857
26	64	11	8	3	0.727	0.273
26	65	2	1	1	0.5	0.5
26	75	36	13	23	0.361	0.639
26	79	2	2	0	1.0	0.0
26	80	7	6	1	0.857	0.143
26	81	6	5	1	0.833	0.167
26	92	5	1	4	0.2	0.8
26	95	1	0	1	0.0	1.0
26	97	13	10	3	0.769	0.231
26	99	2	2	0	1.0	0.0
26	300	2	0	2	0.0	1.0
27	28	5	3	2	0.6	0.4
27	32	27	23	4	0.852	0.148
27	35	1	1	0	1.0	0.0
27	40	1	1	0	1.0	0.0
27	47	1	0	1	0.0	1.0
27	61	20	4	16	0.2	0.8
27	64	19	12	7	0.632	0.368
27	80	1	0	1	0.0	1.0
28	31	1	0	1	0.0	1.0
28	32	562	158	404	0.281	0.719
28	33	5	2	3	0.4	0.6
28	34	130	41	89	0.315	0.685
28	35	190	51	139	0.268	0.732
28	39	6	2	4	0.333	0.667
28	40	174	52	122	0.299	0.701
28	42	1	0	1	0.0	1.0
28	44	113	21	92	0.186	0.814
28	47	109	40	69	0.367	0.633
28	49	105	48	57	0.457	0.543
28	51	3	0	3	0.0	1.0
28	60	90	29	61	0.322	0.678
28	61	85	5	80	0.059	0.941
28	62	7	2	5	0.286	0.714
28	64	45	24	21	0.533	0.467
28	65	4	3	1	0.75	0.25
28	66	6	3	3	0.5	0.5
28	75	25	16	9	0.64	0.36
28	76	2	2	0	1.0	0.0
28	79	7	6	1	0.857	0.143
28	80	24	15	9	0.625	0.375
28	81	6	5	1	0.833	0.167
28	82	18	1	17	0.056	0.944
28	83	1	0	1	0.0	1.0
28	92	7	4	3	0.571	0.429
28	93	1	0	1	0.0	1.0
28	95	3	2	1	0.667	0.333
28	97	9	7	2	0.778	0.222
28	99	2	0	2	0.0	1.0
28	300	21	14	7	0.667	0.333
31	32	4	4	0	1.0	0.0
31	47	1	1	0	1.0	0.0
31	80	1	1	0	1.0	0.0
32	33	34	21	13	0.618	0.382
32	34	23	10	13	0.435	0.565
32	35	978	409	569	0.418	0.582
32	39	42	2	40	0.048	0.952
32	40	9	3	6	0.333	0.667
32	43	4	2	2	0.5	0.5
32	44	64	31	33	0.484	0.516
32	47	3	0	3	0.0	1.0
32	49	7	2	5	0.286	0.714
32	51	15	4	11	0.267	0.733
32	52	8	6	2	0.75	0.25
32	53	13	10	3	0.769	0.231
32	60	129	52	77	0.403	0.597
32	61	164	84	80	0.512	0.488
32	62	6	2	4	0.333	0.667
32	64	109	56	53	0.514	0.486
32	65	26	22	4	0.846	0.154
32	66	4	3	1	0.75	0.25
32	75	2	0	2	0.0	1.0
32	76	14	12	2	0.857	0.143
32	77	1	1	0	1.0	0.0
32	79	50	40	10	0.8	0.2
32	80	188	155	33	0.824	0.176
32	82	1	1	0	1.0	0.0
32	83	3	0	3	0.0	1.0
32	92	5	3	2	0.6	0.4
32	93	2	2	0	1.0	0.0
32	97	1	1	0	1.0	0.0
32	300	2	1	1	0.5	0.5
33	35	4	3	1	0.75	0.25
33	40	1	1	0	1.0	0.0
33	49	1	1	0	1.0	0.0
33	53	1	1	0	1.0	0.0
33	61	5	2	3	0.4	0.6
33	64	4	2	2	0.5	0.5
33	65	1	1	0	1.0	0.0
33	76	2	0	2	0.0	1.0
33	79	1	1	0	1.0	0.0
33	80	1	1	0	1.0	0.0
34	35	14	12	2	0.857	0.143
34	40	19	15	4	0.789	0.211
34	44	12	6	6	0.5	0.5
34	47	53	19	34	0.358	0.642
34	49	47	32	15	0.681	0.319
34	60	16	13	3	0.812	0.188
34	61	1	0	1	0.0	1.0
34	64	5	4	1	0.8	0.2
34	65	1	0	1	0.0	1.0
34	75	16	7	9	0.438	0.562
34	79	5	5	0	1.0	0.0
34	80	21	19	2	0.905	0.095
34	81	3	3	0	1.0	0.0
34	92	5	2	3	0.4	0.6
34	95	1	1	0	1.0	0.0
34	97	2	2	0	1.0	0.0
34	300	1	1	0	1.0	0.0
35	40	3	2	1	0.667	0.333
35	43	2	1	1	0.5	0.5
35	44	17	4	13	0.235	0.765
35	47	3	2	1	0.667	0.333
35	49	7	2	5	0.286	0.714
35	51	2	0	2	0.0	1.0
35	52	2	2	0	1.0	0.0
35	53	2	1	1	0.5	0.5
35	60	53	26	27	0.491	0.509
35	61	27	11	16	0.407	0.593
35	62	3	0	3	0.0	1.0
35	63	1	1	0	1.0	0.0
35	64	29	18	11	0.621	0.379
35	65	11	8	3	0.727	0.273
35	66	1	1	0	1.0	0.0
35	67	1	1	0	1.0	0.0
35	75	2	0	2	0.0	1.0
35	76	4	4	0	1.0	0.0
35	79	10	8	2	0.8	0.2
35	80	39	28	11	0.718	0.282
35	92	4	3	1	0.75	0.25
35	93	2	0	2	0.0	1.0
35	96	1	1	0	1.0	0.0
35	97	3	2	1	0.667	0.333
39	55	8	8	0	1.0	0.0
40	44	12	7	5	0.583	0.417
40	47	29	7	22	0.241	0.759
40	49	23	18	5	0.783	0.217
40	51	2	2	0	1.0	0.0
40	75	6	2	4	0.333	0.667
40	79	2	2	0	1.0	0.0
40	80	2	2	0	1.0	0.0
40	92	1	1	0	1.0	0.0
40	93	1	0	1	0.0	1.0
40	97	1	1	0	1.0	0.0
43	80	2	0	2	0.0	1.0
44	47	17	1	16	0.059	0.941
44	49	11	8	3	0.727	0.273
44	60	2	2	0	1.0	0.0
44	62	1	0	1	0.0	1.0
44	75	2	2	0	1.0	0.0
44	81	1	1	0	1.0	0.0
44	97	1	1	0	1.0	0.0
44	300	11	10	1	0.909	0.091
47	48	1	1	0	1.0	0.0
47	49	42	22	20	0.524	0.476
47	60	17	15	2	0.882	0.118
47	61	1	0	1	0.0	1.0
47	64	8	5	3	0.625	0.375
47	75	14	11	3	0.786	0.214
47	80	1	0	1	0.0	1.0
47	81	12	10	2	0.833	0.167
47	82	1	1	0	1.0	0.0
47	92	4	3	1	0.75	0.25
47	95	1	1	0	1.0	0.0
47	97	10	9	1	0.9	0.1
47	300	2	1	1	0.5	0.5
49	60	8	3	5	0.375	0.625
49	61	11	4	7	0.364	0.636
49	62	2	1	1	0.5	0.5
49	64	13	10	3	0.769	0.231
49	65	3	3	0	1.0	0.0
49	66	2	0	2	0.0	1.0
49	75	18	1	17	0.056	0.944
49	80	8	5	3	0.625	0.375
49	81	17	11	6	0.647	0.353
49	92	5	2	3	0.4	0.6
49	95	1	0	1	0.0	1.0
49	97	13	12	1	0.923	0.077
49	99	1	0	1	0.0	1.0
49	300	3	2	1	0.667	0.333
51	64	2	0	2	0.0	1.0
52	80	1	1	0	1.0	0.0
53	80	1	1	0	1.0	0.0
55	64	2	0	2	0.0	1.0
60	61	3	3	0	1.0	0.0
60	64	288	216	72	0.75	0.25
60	65	2	2	0	1.0	0.0
60	75	6	2	4	0.333	0.667
60	97	1	0	1	0.0	1.0
60	99	1	0	1	0.0	1.0
61	64	496	401	95	0.808	0.192
61	65	361	262	99	0.726	0.274
61	76	2	0	2	0.0	1.0
61	79	1	1	0	1.0	0.0
61	80	1	0	1	0.0	1.0
61	92	1	1	0	1.0	0.0
62	66	25	22	3	0.88	0.12
63	66	1	1	0	1.0	0.0
63	67	1	0	1	0.0	1.0
64	75	3	1	2	0.333	0.667
64	76	2	0	2	0.0	1.0
64	81	1	1	0	1.0	0.0
64	99	1	0	1	0.0	1.0
65	79	1	1	0	1.0	0.0
65	80	2	1	1	0.5	0.5
75	80	6	6	0	1.0	0.0
75	81	2	2	0	1.0	0.0
75	85	1	1	0	1.0	0.0
75	92	9	6	3	0.667	0.333
75	93	1	0	1	0.0	1.0
75	97	5	3	2	0.6	0.4
75	99	2	2	0	1.0	0.0
75	300	1	0	1	0.0	1.0
76	80	1	0	1	0.0	1.0
79	80	3	2	1	0.667	0.333
79	97	1	1	0	1.0	0.0
80	92	3	0	3	0.0	1.0
80	95	1	0	1	0.0	1.0
80	97	1	1	0	1.0	0.0
81	97	1	1	0	1.0	0.0
85	92	1	0	1	0.0	1.0
92	97	1	1	0	1.0	0.0
92	99	1	0	1	0.0	1.0
