Sr.No.	HEADWORD	GENDER	AMAR	ABCH	ACPH	ACSJ	ACVH
2527	जतुका	स्त्री	1466	4015	x	x	x
2527	अजिनपत्रा	स्त्री	1466	x	x	x	x
2527	चर्मचटका	स्त्री	x	4015	x	x	x
2527	अजिनपत्रिका	स्त्री	x	4015	x	x	x
2528	परोष्णी	स्त्री	1467	4016	x	x	x
2528	तैलपायिका	स्त्री	1467	4016	x	x	x
2528	वल्गुलिका	स्त्री	x	4016	x	x	x
2528	मुखविष्टा	स्त्री	x	4016	x	x	x
2528	निशाटनी	स्त्री	x	x	x	4016	4016
2529	वर्वणा	स्त्री	1468	3672	x	x	x
2529	मक्षिका	स्त्री	1468	3672	x	x	x
2529	नीला	स्त्री	1468	3672	x	x	x
2530	सरघा	स्त्री	1469	3669	x	x	x
2530	मधुमक्षिका	स्त्री	1469	3669	x	x	x
2530	क्षुद्रा	स्त्री	x	3669	x	x	x
2531	पतङ्गिका	स्त्री	1470	3673	x	x	x
2531	पुत्तिका	स्त्री	1470	3673	x	x	x
2532	दंश	पुं	1471	3674	x	x	x
2532	वनमक्षिका	स्त्री	1471	3674	x	x	x
2533	दंशी	स्त्री	1472	3675	x	x	x
2534	गन्धोली	स्त्री	1473	3676	x	x	x
2534	वरटा	पुंस्त्री	1473	3676	x	x	x
2534	तैलाटी	स्त्री	x	3676	x	x	x
2535	भृङ्गारी	स्त्री	1474	x	x	x	x
2535	झीरुका	स्त्री	1474	x	x	x	x
2535	चीरी	स्त्री	1474	3677	x	x	x
2535	झिल्लिका	स्त्री	1474	3677	x	x	x
2535	चीरुका	स्त्री	x	3677	x	x	x
2535	झिल्लीका	स्त्री	x	3677	x	x	x
2535	वर्षकरी	स्त्री	x	3677	x	x	x
2535	भृङ्गारिका	स्त्री	x	3677	x	x	x
2536	पतङ्ग	पुं	1475	3668	x	x	x
2536	शलभ	पुं	1475	3668	x	x	x
2537	खद्योत	पुं	1476	3667	x	x	x
2537	ज्योतिरिङ्गण	पुं	1476	3667	x	x	x
2537	कीटमणि	पुं	x	x	3667	x	x
2537	ज्योतिर्मालिन्	पुं	x	x	3667	x	x
2537	तमोमणि	पुं	x	x	3667	x	x
2537	परार्वुद	पुं	x	x	3667	x	x
2537	निमेशद्युत्	पुं	x	x	3667	x	x
2537	ध्वान्तचित्र	पुं	x	x	3667	x	x
2538	मधुव्रत	पुं	1477	3666	x	x	x
2538	मधुकर	पुं	1477	x	x	x	3666
2538	मधुलिह्	पुं	1477	3666	x	x	x
2538	मधुप	पुं	1477	3666	x	x	x
2538	अलिन्	पुं	1477	x	x	x	x
2538	द्विरेफ	पुं	1477	x	x	x	x
2538	पुष्पलिह्	पुं	1477	3666	x	x	x
2538	भृङ्ग	पुं	1477	x	x	x	x
2538	षट्पद	पुं	1477	3666	x	x	x
2538	भ्रमर	पुं	1477	x	x	x	x
2538	अलि	पुं	1477	x	x	x	x
2538	इन्दिन्दिर	पुं	1477	x	x	x	x
2538	चञ्चरीक	पुं	1477	x	x	x	x
2538	रोलम्ब	पुं	1477	x	x	x	x
2538	बम्भर	पुं	1477	x	x	x	x
2538	भ्रमर	पुंस्त्री	x	3666	x	x	x
2538	मधुकृत्	पुंस्त्री	x	3666	x	x	x
2538	भृङ्ग	पुंस्त्री	x	3666	x	x	x
2538	चञ्चरीक	पुंस्त्री	x	3666	x	x	x
2538	शिलीमुख	पुंस्त्री	x	3666	x	x	x
2538	इन्दिन्दिर	पुंस्त्री	x	3666	x	x	x
2538	अलिन्	पुंस्त्री	x	3666	x	3666	x
2538	रोलम्ब	पुंस्त्री	x	3666	x	x	x
2538	द्विरेफ	पुंस्त्री	x	3666	x	x	x
2538	षडंह्रि	पुं	x	3666	x	x	x
2538	षट्चरण	पुं	x	3666	x	x	x
2538	पुष्पन्धय	पुं	x	3666	x	x	x
2538	भसल	पुंस्त्री	x	x	x	3666	x
2538	मधुकर	पुंस्त्री	x	x	x	3666	x
2538	भसल	पुं	x	x	x	x	3666
2539	मयूर	पुं	1478	3975	x	x	x
2539	बर्हिण	पुं	1478	3975	x	x	x
2539	बर्हिन्	पुं	1478	x	x	3975	x
2539	नीलकण्ठ	पुं	1478	3975	x	x	x
2539	भुजङ्गभुज्	पुं	1478	x	x	x	x
2539	शिखावल	पुं	1478	x	x	x	x
2539	शिखिन्	पुं	1478	3975	x	x	x
2539	केकिन्	पुं	1478	3975	x	x	x
2539	मेघनादानुलासिन्	पुं	1478	x	x	x	x
2539	सर्पभुज्	पुं	x	3975	x	x	x
2539	मेघसुहृद्	पुं	x	3975	x	x	x
2539	शुक्लापाङ्ग	पुं	x	3975	x	x	x
2539	चित्रपिङ्गल	पुं	x	x	3975	x	x
2539	नृत्यप्रिय	पुं	x	x	3975	x	x
2539	स्थिरमद	पुं	x	x	3975	x	x
2539	खिलखिल	पुं	x	x	3975	x	x
2539	गरव्रत	पुं	x	x	3975	x	x
2539	मार्जारकण्ठ	पुं	x	x	3975	x	x
2539	मरूक	पुं	x	x	3975	x	x
2539	मेघनादानुलासक	पुं	x	x	3975	x	x
2539	मयुक	पुं	x	x	3975	x	x
2539	बहुलग्रीव	पुं	x	x	3975	x	x
2539	नगावास	पुं	x	x	3975	x	x
2539	चन्द्रकिन्	पुं	x	x	3975	x	x
2539	शिखाबल	पुं	x	x	x	x	3975
2540	केका	स्त्री	1479	3976	x	x	x
2541	चन्द्रक	पुं	1480	3978	x	x	x
2541	मेचक	पुं	1480	3978	x	x	x
2542	शिखा	स्त्री	1481	1759	x	x	x
2542	चूडा	स्त्री	1481	1759	x	x	x
2542	केशी	स्त्री	x	1759	x	x	x
2542	केशपाशी	स्त्री	x	1759	x	x	x
2542	शिखण्डिका	स्त्री	x	1759	x	x	x
2543	शिखण्ड	पुं	1482	x	x	x	x
2543	पिच्छ	क्ली	1482	3977	x	x	x
2543	बर्ह	क्ली	1482	3977	x	x	x
2543	शिखण्डक	पुं	x	3977	x	x	x
2543	प्रचलाक	पुं	x	3977	x	x	x
2543	कलाप	पुं	x	3977	x	x	x
2544	खग	पुं	1483	3968	x	x	x
2544	विहङ्ग	पुं	1483	3968	x	x	x
2544	विहग	पुं	1483	3968	x	x	x
2544	विहङ्गम	पुं	1483	3968	x	x	x
2544	विहायस्	पुं	1483	3968	x	x	x
2544	शकुन्ति	पुं	1483	3968	x	x	x
2544	पक्षिन्	पुं	1483	3968	x	x	x
2544	शकुनि	पुं	1483	3968	x	x	x
2544	शकुन्त	पुं	1483	3968	x	x	x
2544	शकुन	पुं	1483	3968	x	x	x
2544	द्विज	पुं	1483	3968	x	x	x
2544	पतत्रिन्	पुं	1483	3968	x	x	x
2544	पत्रिन्	पुं	1483	x	x	x	x
2544	पतग	पुं	1483	3968	x	x	x
2544	पतत्	पुं	1483	3968	x	x	x
2544	पत्ररथ	पुं	1483	x	x	x	x
2544	अण्डज	पुं	1483	3968	x	x	x
2544	नगौकस्	पुं	1483	x	x	x	x
2544	वाजिन्	पुं	1483	x	x	x	x
2544	विकिर	पुं	1483	3968	x	x	x
2544	वि	पुं	1483	3968	x	x	x
2544	विष्किर	पुं	1483	3968	x	x	x
2544	पतत्रि	पुं	1483	x	x	3968	x
2544	नीडोद्भव	पुं	1483	x	x	x	x
2544	गरुत्मत्	पुं	1483	x	x	x	x
2544	पित्सन्त्	पुं	1483	x	x	x	x
2544	नभसङ्गम	पुं	1483	3968	x	x	x
2544	वयस्	पुं	x	3968	x	x	x
2544	पत्त्ररथ	पुं	x	3968	x	x	x
2544	पतङ्ग	पुं	x	3968	x	x	x
2544	पित्सन्	पुं	x	3968	x	x	x
2544	नीडज	पुं	x	3968	x	x	x
2544	अगौकस्	पुं	x	3968	x	x	x
2544	चञ्चुमत्	पुं	x	x	3968	x	x
2544	कण्ठाग्नि	पुं	x	x	3968	x	x
2544	कीकसमुख	पुं	x	x	3968	x	x
2544	लोमकिन्	पुं	x	x	3968	x	x
2544	रसनारद	पुं	x	x	3968	x	x
2544	वारङ्ग	पुं	x	x	3968	x	x
2544	नाडीचरण	पुं	x	x	3968	x	x
2545	हारीत	पुं	1484	4028	x	x	x
2545	मृदङ्कुर	पुं	x	4028	x	x	x
2546	मद्गु	पुं	1485	3982	x	x	x
2546	जलवायस	पुं	x	3982	x	x	x
2546	द्रोण	पुं	x	x	x	3982	x
2547	कारण्डव	पुं	1486	4029	x	x	x
2547	मरुल	पुं	x	4029	x	x	x
2548	सुगृह	पुं	x	4030	x	x	x
2548	चञ्चुसूचिक	पुं	x	4030	x	x	x
2549	प्लव	पुं	1487	x	x	x	x
2550	तित्तिरि	पुं	1488	4027	x	x	x
2550	खरकोण	पुं	x	4027	x	x	x
2551	कुक्कुभ	पुं	1489	4031	x	x	x
2551	कुम्भकारकुक्कुट	पुं	x	4031	x	x	x
2551	कुहकस्वन	पुं	x	4031	x	x	x
2552	दीपक	पुं	x	4032	x	x	x
2553	लाव	पुं	1490	x	x	x	x
2554	जीवञ्जीव	पुं	1491	4024	x	x	x
2554	गुन्द्राल	पुं	x	4024	x	x	x
2554	विषदर्शनमृत्युक	पुं	x	4024	x	x	x
2555	चकोरक	पुं	1492	x	x	x	x
2555	ज्योत्स्नाप्रिय	पुं	x	4023	x	x	x
2555	चलचञ्चु	पुं	x	4023	x	x	x
2555	चकोर	पुं	x	4023	x	x	x
2555	विषसूचक	पुं	x	4023	x	x	x
2556	भास	पुं	x	4020	x	x	x
2556	शकुन्त	पुं	x	4020	x	x	x
2557	कोयष्टिक	पुं	1493	x	x	x	x
2557	कोयष्टि	पुं	x	4021	x	x	x
2557	शिखरिन्	पुं	x	4021	x	x	x
2557	जलकुक्कुभ	पुं	x	4021	x	x	x
2558	टिट्टिभक	पुं	1494	x	x	x	x
2558	टिट्टिभ	पुं	x	3999	x	x	x
2558	कटुक्वाण	पुं	x	3999	x	x	x
2558	उत्पादशयन	पुं	x	3999	x	x	x
2558	टिटिभ	पुं	x	x	x	3999	x
2558	टीटिभ	पुं	x	x	x	x	3999
2559	वर्तक	पुं	1495	x	x	x	x
2560	वर्तिक	पुं	1496	x	x	x	x
2561	गरुत्	पुं	1497	x	x	x	x
2561	पक्ष	पुं	1497	3970	x	x	x
2561	छद	पुंक्ली	1497	3970	x	x	x
2561	पत्र	क्ली	1497	x	x	x	x
2561	पतत्र	क्ली	1497	x	x	x	x
2561	तनूरुह	क्ली	1497	x	x	x	x
2561	पत्त्र	क्ली	x	3970	x	x	x
2561	पतत्त्र	क्ली	x	3970	x	x	x
2561	पिच्छ	क्ली	x	3970	x	x	x
2561	वाज	पुं	x	3970	x	x	x
2561	तनूरुह	पुंक्ली	x	3970	x	x	x
2561	गरुत्	पुंक्ली	x	3970	x	x	x
2561	पिञ्छ	क्ली	x	x	x	3970	3970
2562	पक्षति	स्त्री	1498	3971	x	x	x
2562	पक्षमूल	क्ली	1498	3971	x	x	x
2563	चञ्चु	स्त्री	1499	3969	x	x	x
2563	त्रोटि	स्त्री	1499	3969	x	x	x
2563	चञ्चू	स्त्री	x	3969	x	x	x
2563	सृपाटिका	स्त्री	x	3969	x	x	x
2564	प्रडीन	क्ली	1500	3972	x	x	x
2564	उड्डीन	क्ली	1500	3972	x	x	x
2564	सण्डीन	क्ली	1500	3972	x	x	x
2564	डयन	क्ली	x	3972	x	x	x
2564	नभोगति	स्त्री	x	3972	x	x	x
2565	पेशी	स्त्री	1501	x	x	x	x
2565	कोश	पुंक्ली	1501	x	x	x	x
2565	अण्ड	क्ली	1501	x	x	x	x
2565	पेशीकोश	पुं	x	3973	x	x	x
2565	अण्ड	पुंक्ली	x	3973	x	x	x
2566	कुलाय	पुं	1502	3974	x	x	x
2566	नीड	पुंक्ली	1502	x	x	x	x
2566	नीड	त्रि	x	3974	x	x	x
2567	पोत	पुं	1503	1104	x	x	x
2567	पाक	पुं	1503	1104	x	x	x
2567	अर्भक	पुं	1503	x	x	x	x
2567	डिम्भ	पुं	1503	1104	x	x	x
2567	पृथुक	पुं	1503	1104	x	x	x
2567	शावक	पुं	1503	x	x	x	x
2567	शिशु	पुं	1503	1104	x	x	x
2567	बाल	पुं	x	1104	x	x	x
2567	शाव	पुं	x	1104	x	x	x
2567	स्तनन्धय	पुं	x	1104	x	x	x
2567	अर्भ	पुं	x	1104	x	x	x
2567	उत्तानशय	पुं	x	1104	x	x	x
2567	क्षीरकण्ठ	पुं	x	1104	x	x	x
2567	कुमारक	पुं	x	1104	x	x	x
2567	स्तनप	पुं	x	x	x	1104	1104
2567	क्षीरप	पुं	x	x	x	1104	1104
2568	स्त्रीपुंसौ	पुंद्वि	1504	1672	x	x	x
2568	मिथुन	क्ली	1504	1672	x	x	x
2568	द्वन्द्व	क्ली	1504	1672	x	x	x
2569	उभौ	पुंद्वि	x	4273	x	x	x
2569	द्वौ	पुंद्वि	x	4273	x	x	x
2570	युग्म	क्ली	1505	4274	x	x	x
2570	युगल	क्ली	1505	4274	x	x	x
2570	युग	क्ली	1505	4274	x	x	x
2570	द्वितय	क्ली	x	4274	x	x	x
2570	द्वय	क्ली	x	4274	x	x	x
2570	द्वैत	क्ली	x	4274	x	x	x
2570	यम	क्ली	x	4274	x	x	x
2570	द्वन्द्व	क्ली	x	4274	x	x	x
2570	यमल	क्ली	x	4274	x	x	x
2570	यामल	क्ली	x	4274	x	x	x
2570	जकुट	पुं	x	x	x	4274	x
2570	जकुट	क्ली	x	x	x	x	4274
2571	गोयुग	क्ली	x	4275	x	x	x
2572	षड्गव	क्ली	x	4276	x	x	x
2573	समूह	पुं	1506	4214	x	x	x
2573	निवह	पुं	1506	4214	x	x	x
2573	व्यूह	पुं	1506	4214	x	x	x
2573	सन्दोह	पुं	1506	4214	x	x	x
2573	विसर	पुं	1506	4214	x	x	x
2573	व्रज	पुं	1506	4214	x	x	x
2573	स्तोम	पुं	1506	4214	x	x	x
2573	ओघ	पुं	1506	4214	x	x	x
2573	निकर	पुं	1506	4214	x	x	x
2573	व्रात	पुं	1506	4214	x	x	x
2573	वार	पुं	1506	x	x	x	x
2573	सङ्घात	पुं	1506	4214	x	x	x
2573	सञ्चय	पुं	1506	4214	x	x	x
2573	समुदाय	पुं	1506	4214	x	x	x
2573	समुदय	पुं	1506	4214	x	x	x
2573	समवाय	पुं	1506	4214	x	x	x
2573	चय	पुं	1506	4214	x	x	x
2573	गण	पुं	1506	4214	x	x	x
2573	संहति	स्त्री	1506	4214	x	x	x
2573	वृन्द	क्ली	1506	4214	x	x	x
2573	निकुरम्ब	क्ली	1506	x	x	x	x
2573	कदम्बक	क्ली	1506	4214	x	x	x
2573	प्रकर	पुं	x	4214	x	x	x
2573	वार	पुंक्ली	x	4214	x	x	x
2573	राशि	पुं	x	4214	x	x	x
2573	कलाप	पुं	x	4214	x	x	x
2573	कूट	पुंक्ली	x	4214	x	x	x
2573	मण्डल	त्रि	x	4214	x	x	x
2573	चक्रवाल	पुं	x	4214	x	x	x
2573	पटल	स्त्रीक्ली	x	4214	x	x	x
2573	पेटक	त्रि	x	4214	x	x	x
2573	चक्र	पुंक्ली	x	4214	x	x	x
2573	पुञ्ज	पुं	x	4214	x	x	x
2573	उत्कर	पुं	x	4214	x	x	x
2573	निकुरुम्ब	क्ली	x	4214	x	x	x
2573	जाल	स्त्रीक्ली	x	4214	x	x	x
2573	जात	क्ली	x	4214	x	x	x
2573	आकर	पुं	x	x	x	4214	4214
2574	वर्ग	पुं	1507	4219	x	x	x
2575	स्कन्ध	पुं	x	4220	x	x	x
2576	ग्राम	पुं	x	4221	x	x	x
2577	विषयग्राम	पुं	x	4222	x	x	x
2578	शब्दग्राम	पुं	x	4223	x	x	x
2579	अस्त्रग्राम	पुं	x	4224	x	x	x
2580	भूतग्राम	पुं	x	4225	x	x	x
2581	इन्द्रियग्राम	पुं	x	4226	x	x	x
2582	गुणग्राम	पुं	x	4227	x	x	x
2583	सङ्घ	पुं	1508	4216	x	x	x
2583	सार्थ	पुं	1508	4216	x	x	x
2584	कुल	क्ली	1509	4217	x	x	x
2585	यूथ	पुंक्ली	1510	x	x	x	x
2585	यूथ	क्ली	x	4215	x	x	x
2586	समज	पुं	1511	4228	x	x	x
2587	समाज	पुं	1512	4229	x	x	x
2588	निकाय	पुं	1513	4218	x	x	x
2589	पुञ्ज	पुं	1514	4214	x	x	x
2589	राशि	पुं	1514	4214	x	x	x
2589	उत्कर	पुं	1514	4214	x	x	x
2589	कूट	पुंक्ली	1514	4214	x	x	x
2589	सङ्घात	पुं	x	4214	x	x	x
2589	प्रकर	पुं	x	4214	x	x	x
2589	ओघ	पुं	x	4214	x	x	x
2589	वार	पुंक्ली	x	4214	x	x	x
2589	निकर	पुं	x	4214	x	x	x
2589	व्यूह	पुं	x	4214	x	x	x
2589	समूह	पुं	x	4214	x	x	x
2589	चय	पुं	x	4214	x	x	x
2589	सन्दोह	पुं	x	4214	x	x	x
2589	समुदाय	पुं	x	4214	x	x	x
2589	विसर	पुं	x	4214	x	x	x
2589	व्रात	पुं	x	4214	x	x	x
2589	कलाप	पुं	x	4214	x	x	x
2589	व्रज	पुं	x	4214	x	x	x
2589	मण्डल	त्रि	x	4214	x	x	x
2589	चक्रवाल	पुं	x	4214	x	x	x
2589	पटल	स्त्रीक्ली	x	4214	x	x	x
2589	स्तोम	पुं	x	4214	x	x	x
2589	गण	पुं	x	4214	x	x	x
2589	पेटक	त्रि	x	4214	x	x	x
2589	वृन्द	क्ली	x	4214	x	x	x
2589	चक्र	पुंक्ली	x	4214	x	x	x
2589	कदम्बक	क्ली	x	4214	x	x	x
2589	समुदय	पुं	x	4214	x	x	x
2589	संहति	स्त्री	x	4214	x	x	x
2589	समवाय	पुं	x	4214	x	x	x
2589	निकुरुम्ब	क्ली	x	4214	x	x	x
2589	जाल	स्त्रीक्ली	x	4214	x	x	x
2589	निवह	पुं	x	4214	x	x	x
2589	सञ्चय	पुं	x	4214	x	x	x
2589	जात	क्ली	x	4214	x	x	x
2589	आकर	पुं	x	x	x	4214	4214
2590	कापोत	क्ली	1515	x	x	x	x
2591	शौक	क्ली	1516	4230	x	x	x
2592	मायूर	क्ली	1517	4231	x	x	x
2593	तैत्तिर	क्ली	1518	4232	x	x	x
2594	छेक	पुं	1519	4033	x	x	x
2594	गृह्यक	पुं	1519	x	x	x	x
2594	गृह्य	पुं	x	4033	x	x	x
2595	मनुष्य	पुं	1520	1103	x	x	x
2595	मानुष	पुं	1520	1103	x	x	x
2595	मर्त्य	पुं	1520	1103	x	x	x
2595	मनुज	पुं	1520	1103	x	x	x
2595	मानव	पुं	1520	1103	x	x	x
2595	नर	पुं	1520	1103	x	x	x
2595	पुंस्	पुं	1520	1103	x	x	x
2595	पञ्चजन	पुं	1520	1103	x	x	x
2595	पुरुष	पुं	1520	1103	x	x	x
2595	पूरुष	पुं	1520	1103	x	x	x
2595	नृ	पुं	1520	1103	x	x	x
2595	भूस्पृश्	पुं	x	1103	x	x	x
2595	विष्	पुं	x	1103	x	x	x
2596	स्त्री	स्त्री	1521	1551	x	x	x
2596	योषित्	स्त्री	1521	1551	x	x	x
2596	अबला	स्त्री	1521	1551	x	x	x
2596	योषा	स्त्री	1521	1551	x	x	x
2596	नारी	स्त्री	1521	1551	x	x	x
2596	सीमन्तिनी	स्त्री	1521	1551	x	x	x
2596	वधू	स्त्री	1521	1551	x	x	x
2596	प्रतीपदर्शिनी	स्त्री	1521	x	x	x	x
2596	वामा	स्त्री	1521	1551	x	x	x
2596	वनिता	स्त्री	1521	1551	x	x	x
2596	महिला	स्त्री	1521	1551	x	x	x
2596	वशा	स्त्री	x	1551	x	x	x
2596	वर्णिनी	स्त्री	x	1551	x	x	x
2596	महेला	स्त्री	x	x	x	1551	1551
2596	योषिता	स्त्री	x	x	x	1551	1551
2597	स्त्रीविशेष	पुं	x	1552	x	x	x
2598	अङ्गना	स्त्री	1522	1561	x	x	x
2599	भीरु	स्त्री	1523	1554	x	x	x
2600	कामिनी	स्त्री	1524	x	x	x	x
2601	वामलोचना	स्त्री	1525	x	x	x	x
2601	वामाक्षी	स्त्री	x	1566	x	x	x
2602	प्रमदा	स्त्री	1526	1556	x	x	x
2603	मानिनी	स्त्री	1527	1568	x	x	x
2604	कान्ता	स्त्री	1528	1553	x	x	x
2605	ललना	स्त्री	1529	1560	x	x	x
2606	नितम्बिनी	स्त्री	1530	1555	x	x	x
2607	सुन्दरी	स्त्री	1531	1557	x	x	x
2608	रामा	स्त्री	x	1558	x	x	x
2609	रमणी	स्त्री	1532	1559	x	x	x
2610	तरललोचना	स्त्री	x	1562	x	x	x
2611	अलसेक्षणा	स्त्री	x	1563	x	x	x
2612	मृगाक्षी	स्त्री	x	1564	x	x	x
2613	मत्तेभगमना	स्त्री	x	1565	x	x	x
2614	सुस्मिता	स्त्री	x	1567	x	x	x
2615	लीलावती	स्त्री	x	1569	x	x	x
2616	स्मरवती	स्त्री	x	1570	x	x	x
2617	रामा	स्त्री	1533	x	x	x	x
2617	मध्यमा	स्त्री	x	1598	x	x	x
2617	दृष्टरजस्	स्त्री	x	1598	x	x	x
2617	तरुणी	स्त्री	x	1598	x	x	x
2617	युवति	स्त्री	x	1598	x	x	x
2617	चरी	स्त्री	x	1598	x	x	x
2617	तलुनी	स्त्री	x	1598	x	x	x
2617	दिक्करी	स्त्री	x	1598	x	x	x
2617	युवती	स्त्री	x	x	x	1598	1598
2618	कोपना	स्त्री	1534	1594	x	x	x
2618	भामिनी	स्त्री	1534	1594	x	x	x
2619	छेका	स्त्री	x	1595	x	x	x
2619	मत्ता	स्त्री	x	1595	x	x	x
2619	वाणिनी	स्त्री	x	1595	x	x	x
2620	वरारोहा	स्त्री	1535	x	x	x	x
2620	मत्तकाशिनी	स्त्री	1535	x	x	x	x
2620	उत्तमा	स्त्री	1535	x	x	x	x
2620	वरवर्णिनी	स्त्री	1535	x	x	x	x
2621	नृपस्त्री	स्त्री	x	1617	x	x	x
2622	महिषी	स्त्री	1536	1618	x	x	x
2622	कृताभिषेका	स्त्री	x	1618	x	x	x
2623	भोगिनी	स्त्री	1537	1619	x	x	x
2624	पत्नी	स्त्री	1538	1601	x	x	x
2624	पाणिगृहीती	स्त्री	1538	1601	x	x	x
2624	द्वितीया	स्त्री	1538	1601	x	x	x
2624	सहधर्मिणी	स्त्री	1538	x	x	1601	1601
2624	भार्या	स्त्री	1538	1601	x	x	x
2624	जाया	स्त्री	1538	1601	x	x	x
2624	दाराः	पुंब	1538	1601	x	x	x
2624	सधर्मिणी	स्त्री	x	1601	x	x	x
2624	सहचरी	स्त्री	x	1601	x	x	x
2624	गृहिणी	स्त्री	x	1601	x	x	x
2624	गृहाः	पुंब	x	1601	x	x	x
2624	गृह	क्ली	x	1601	x	x	x
2624	क्षेत्र	क्ली	x	1601	x	x	x
2624	वधू	स्त्री	x	1601	x	x	x
2624	जनी	स्त्री	x	1601	x	x	x
2624	परिग्रह	पुं	x	1601	x	x	x
2624	ऊढा	स्त्री	x	1601	x	x	x
2624	कलत्र	क्ली	x	1601	x	x	x
2624	करात्ती	स्त्री	x	x	x	1601	x
2624	गेहिनी	स्त्री	x	x	x	1601	1601
2624	सधर्मचारिणी	स्त्री	x	x	x	1601	1601
2624	दार	पुं	x	x	x	x	1601
2625	कुटुम्बिनी	स्त्री	1539	1602	x	x	x
2625	पुरन्ध्री	स्त्री	1539	1602	x	x	x
2626	सुचरित्रा	स्त्री	1540	1646	x	x	x
2626	सती	स्त्री	1540	1646	x	x	x
2626	साध्वी	स्त्री	1540	1646	x	x	x
2626	पतिव्रता	स्त्री	1540	1646	x	x	x
2626	एकपत्नी	स्त्री	x	1646	x	x	x
2627	कृतसापत्निका	स्त्री	1541	1645	x	x	x
2627	अध्यूढा	स्त्री	1541	1645	x	x	x
2627	अधिविन्ना	स्त्री	1541	1645	x	x	x
2628	स्वयंवरा	स्त्री	1542	1599	x	x	x
2628	पतिंवरा	स्त्री	1542	1599	x	x	x
2628	वर्या	स्त्री	1542	1599	x	x	x
2629	कुलस्त्री	स्त्री	1543	1607	x	x	x
2629	कुलपालिका	स्त्री	1543	x	x	x	x
2629	कुलबालिका	स्त्री	x	1607	x	x	x
2630	कन्या	स्त्री	1544	1596	x	x	x
2630	कुमारी	स्त्री	1544	1596	x	x	x
2630	कनी	स्त्री	x	1596	x	x	x
2631	गौरी	स्त्री	1545	1597	x	x	x
2631	नग्निका	स्त्री	1545	1597	x	x	x
2631	अनागतार्तवा	स्त्री	1545	x	x	x	x
2631	अरजस्	स्त्री	x	1597	x	x	x
2632	मध्यमा	स्त्री	1546	1598	x	x	x
2632	दृष्टरजस्	स्त्री	1546	1598	x	x	x
2632	तरुणी	स्त्री	x	1598	x	x	x
2632	युवति	स्त्री	x	1598	x	x	x
2632	चरी	स्त्री	x	1598	x	x	x
2632	तलुनी	स्त्री	x	1598	x	x	x
2632	दिक्करी	स्त्री	x	1598	x	x	x
2632	युवती	स्त्री	x	x	x	1598	1598
2633	तरुणी	स्त्री	1547	1598	x	x	x
2633	युवति	स्त्री	1547	1598	x	x	x
2633	मध्यमा	स्त्री	x	1598	x	x	x
2633	दृष्टरजस्	स्त्री	x	1598	x	x	x
2633	चरी	स्त्री	x	1598	x	x	x
2633	तलुनी	स्त्री	x	1598	x	x	x
2633	दिक्करी	स्त्री	x	1598	x	x	x
2633	युवती	स्त्री	x	x	x	1598	1598
2634	स्नुषा	स्त्री	1548	1604	x	x	x
2634	जनी	स्त्री	1548	1604	x	x	x
2634	वधू	स्त्री	1548	1604	x	x	x
2634	सूनुजाया	स्त्री	x	1604	x	x	x
2634	वधूटी	स्त्री	x	x	x	1604	1604
2635	चिरिण्टी	स्त्री	1549	1600	x	1600	x
2635	सुवासिनी	स्त्री	1549	1600	x	x	x
2635	वधूटी	स्त्री	x	1600	x	x	x
2635	स्ववासिनी	स्त्री	x	x	x	1600	x
2635	चरिण्टी	स्त्री	x	x	x	1600	x
2635	चरण्टी	स्त्री	x	x	x	1600	1600
2635	वध्वटी	स्त्री	x	x	x	x	1600
2636	इच्छावती	स्त्री	1550	x	x	x	x
2636	कामुका	स्त्री	1550	1644	x	x	x
2636	इच्छायुक्ता	स्त्री	x	1644	x	x	x
2637	वृषस्यन्ती	स्त्री	1551	1643	x	x	x
2637	कामुकी	स्त्री	1551	1643	x	x	x
2638	अभिसारिका	स्त्री	1552	1648	x	x	x
2639	पुंश्चली	स्त्री	1553	1647	x	x	x
2639	धर्षिणी	स्त्री	1553	x	x	x	x
2639	बन्धकी	स्त्री	1553	1647	x	x	x
2639	असती	स्त्री	1553	1647	x	x	x
2639	कुलटा	स्त्री	1553	1647	x	x	x
2639	इत्वरी	स्त्री	1553	1647	x	x	x
2639	स्वैरिणी	स्त्री	1553	1647	x	x	x
2639	पांसुला	स्त्री	1553	1647	x	x	x
2639	चर्षणी	स्त्री	x	1647	x	x	x
2639	अविनीता	स्त्री	x	1647	x	x	x
2639	दुःशृङ्गी	स्त्री	x	x	1647	x	x
2639	बन्धुदा	स्त्री	x	x	1647	x	x
2639	कलकूणिका	स्त्री	x	x	1647	x	x
2639	धर्षणी	स्त्री	x	x	1647	x	x
2639	लाञ्छनी	स्त्री	x	x	1647	x	x
2639	खण्डशीला	स्त्री	x	x	1647	x	x
2639	मदननालिका	स्त्री	x	x	1647	x	x
2639	त्रिलोचना	स्त्री	x	x	1647	x	x
2639	मनोहारी	स्त्री	x	x	1647	x	x
2640	अशिश्वी	स्त्री	1554	1650	x	x	x
2641	अवीरा	स्त्री	1555	x	x	1653	1653
2641	निर्वीरा	स्त्री	x	1653	x	x	x
2641	निष्पतिसुता	स्त्री	x	1653	x	x	x
2642	जीवत्तोका	स्त्री	x	1654	x	x	x
2642	जीवसू	स्त्री	x	1654	x	x	x
2643	नश्यत्प्रसूतिका	स्त्री	x	1655	x	x	x
